item_number,district,location,disposition,signal_type,signal_description,occurred_date_time,charge_code,charge_description,offender_race,offender_gender,offender_age,offender_number,person_type,victim_race,victim_gender,victim_age,victim_number,victim_fatal_status,hate_crime,report_type,year,offenderid,offenderstatus,persontype,Signal Code
E-05673-18,6,Howard Av & Saint Charles Av,OPEN,65P,PROPERTY SNATCHING,2018-05-05 02:30:00,14 65.1,PURSE SNATCHING,,,,1.0,VICTIM,BLACK,MALE,52.0,1.0,Non-fatal,,Incident Report,2018,,,,65P
E-14666-18,1,3XX N Tonti St,OPEN,64G,ARMED ROBBERY (GUN),2018-05-12 03:30:00,14 (24) 64,PRINCIPAL TO ARMED ROBBERY,BLACK,FEMALE,,1.0,VICTIM,WHITE,MALE,26.0,1.0,Non-fatal,,Incident Report,2018,,,,64G
E-14666-18,1,3XX N Tonti St,OPEN,64G,ARMED ROBBERY (GUN),2018-05-12 03:30:00,14 64.3,USE OF FIREARM IN ROBBERY,BLACK,MALE,,2.0,VICTIM,WHITE,MALE,26.0,1.0,Non-fatal,,Incident Report,2018,,,,64G
I-30416-18,8,8XX Bourbon St,CLOSED,39,NEGLIGENT INJURING,2018-09-24 18:48:00,14 39,NEGLIGENT INJURING,WHITE,MALE,46.0,1.0,VICTIM,BLACK,MALE,50.0,1.0,Non-fatal,,Supplemental Report,2018,,,,21
H-10086-18,5,23XX Annette St,OPEN,34S,AGGRAVATED BATTERY (SHOOTING),2018-08-08 21:10:00,,,BLACK,MALE,,1.0,REPORTING PERSON,BLACK,FEMALE,27.0,3.0,Non-fatal,,Incident Report,2018,,,,34-S
H-10086-18,5,23XX Annette St,OPEN,34S,AGGRAVATED BATTERY (SHOOTING),2018-08-08 21:10:00,14 34,AGG. BATTERY,BLACK,MALE,,1.0,VICTIM,BLACK,MALE,20.0,1.0,Non-fatal,,Incident Report,2018,,,,34-S
H-10086-18,5,23XX Annette St,OPEN,34S,AGGRAVATED BATTERY (SHOOTING),2018-08-08 21:10:00,,,BLACK,MALE,,1.0,REPORTING PERSON,BLACK,MALE,16.0,4.0,Non-fatal,,Incident Report,2018,,,,34-S
H-10086-18,5,23XX Annette St,OPEN,34S,AGGRAVATED BATTERY (SHOOTING),2018-08-08 21:10:00,,,BLACK,MALE,,1.0,REPORTING PERSON,BLACK,MALE,14.0,5.0,Non-fatal,,Incident Report,2018,,,,34-S
H-10086-18,5,23XX Annette St,OPEN,34S,AGGRAVATED BATTERY (SHOOTING),2018-08-08 21:10:00,14 34,AGG. BATTERY,BLACK,MALE,,1.0,VICTIM,BLACK,FEMALE,20.0,2.0,Non-fatal,,Incident Report,2018,,,,34-S
D-26352-18,5,19XX Saint Roch Av,CLOSED,34S,AGGRAVATED BATTERY (SHOOTING),2018-04-22 16:25:00,14 (27) 30.1,ATTEMPT - SECOND DEGREEMURDER,BLACK,MALE,26.0,1.0,VICTIM,BLACK,MALE,40.0,6.0,Non-fatal,,Supplemental Report,2018,,,,34S
D-26352-18,5,19XX Saint Roch Av,CLOSED,34S,AGGRAVATED BATTERY (SHOOTING),2018-04-22 16:25:00,14 37.4,AGGRAVATED ASSAULT WITH A FIREARM,BLACK,MALE,26.0,1.0,VICTIM,BLACK,FEMALE,2.0,7.0,Non-fatal,,Supplemental Report,2018,,,,34S
D-26352-18,5,19XX Saint Roch Av,CLOSED,34S,AGGRAVATED BATTERY (SHOOTING),2018-04-22 16:25:00,14 (27) 30.1,ATTEMPT - SECOND DEGREEMURDER,BLACK,MALE,26.0,1.0,VICTIM,BLACK,FEMALE,20.0,4.0,Non-fatal,,Supplemental Report,2018,,,,34S
D-26352-18,5,19XX Saint Roch Av,CLOSED,34S,AGGRAVATED BATTERY (SHOOTING),2018-04-22 16:25:00,14 (27) 30.1,ATTEMPT - SECOND DEGREEMURDER,BLACK,MALE,26.0,1.0,VICTIM,BLACK,MALE,50.0,5.0,Non-fatal,,Supplemental Report,2018,,,,34S
D-26352-18,5,19XX Saint Roch Av,CLOSED,34S,AGGRAVATED BATTERY (SHOOTING),2018-04-22 16:25:00,14 37.4,AGGRAVATED ASSAULT WITH A FIREARM,BLACK,MALE,26.0,1.0,VICTIM,BLACK,FEMALE,44.0,3.0,Non-fatal,,Supplemental Report,2018,,,,34S
D-26352-18,5,19XX Saint Roch Av,CLOSED,34S,AGGRAVATED BATTERY (SHOOTING),2018-04-22 16:25:00,14 37.4,AGGRAVATED ASSAULT WITH A FIREARM,BLACK,MALE,26.0,1.0,VICTIM,BLACK,FEMALE,25.0,2.0,Non-fatal,,Supplemental Report,2018,,,,34S
D-26352-18,5,19XX Saint Roch Av,CLOSED,34S,AGGRAVATED BATTERY (SHOOTING),2018-04-22 16:25:00,14 37.4,AGGRAVATED ASSAULT WITH A FIREARM,BLACK,MALE,26.0,1.0,VICTIM,BLACK,MALE,47.0,1.0,Non-fatal,,Supplemental Report,2018,,,,34S
E-16051-18,5,18XX Egania St,OPEN,43B,SEXUAL BATTERY,2018-05-13 09:50:00,,,,,,,VICTIM,BLACK,FEMALE,24.0,1.0,Non-fatal,,Incident Report,2018,,,,24
E-13734-18,6,Felicity St & Magnolia St,OPEN,24,MEDICAL,2018-05-11 12:31:00,,,,,,,VICTIM,BLACK,MALE,33.0,1.0,Non-fatal,,Incident Report,2018,,,,24
E-05713-18,8,4XX Bourbon St,CLOSED,21,MISCELLANEOUS INCIDENT,2018-05-05 04:48:00,,,BLACK,MALE,52.0,1.0,VICTIM,BLACK,MALE,,1.0,Non-fatal,,Incident Report,2018,,,,103
E-13151-18,8,4XX Bourbon St,CLOSED,103F,DISTURBANCE (FIGHT),2018-05-11 00:05:00,54 96,BATTERY,WHITE,MALE,42.0,1.0,VICTIM,BLACK,MALE,36.0,1.0,Non-fatal,,Incident Report,2018,,,,103-F
E-13151-18,8,4XX Bourbon St,CLOSED,103F,DISTURBANCE (FIGHT),2018-05-11 00:05:00,,,WHITE,MALE,42.0,2.0,INTERVIEW,WHITE,FEMALE,21.0,1.0,Non-fatal,,Incident Report,2018,,,,103-F
E-13151-18,8,4XX Bourbon St,CLOSED,103F,DISTURBANCE (FIGHT),2018-05-11 00:05:00,54 403,DISTURBING THE PEACE,WHITE,MALE,42.0,2.0,VICTIM,BLACK,MALE,36.0,1.0,Non-fatal,,Incident Report,2018,,,,103-F
E-13151-18,8,4XX Bourbon St,CLOSED,103F,DISTURBANCE (FIGHT),2018-05-11 00:05:00,,,WHITE,MALE,42.0,1.0,INTERVIEW,WHITE,FEMALE,21.0,1.0,Non-fatal,,Incident Report,2018,,,,103-F
E-13151-18,8,4XX Bourbon St,CLOSED,103F,DISTURBANCE (FIGHT),2018-05-11 00:05:00,54 403,DISTURBING THE PEACE,WHITE,MALE,42.0,1.0,VICTIM,BLACK,MALE,36.0,1.0,Non-fatal,,Incident Report,2018,,,,103-F
E-13151-18,8,4XX Bourbon St,CLOSED,103F,DISTURBANCE (FIGHT),2018-05-11 00:05:00,54 96,BATTERY,WHITE,MALE,42.0,2.0,VICTIM,BLACK,MALE,36.0,1.0,Non-fatal,,Incident Report,2018,,,,103-F
E-14809-18,8,Saint Charles Av & Andrew Higgins,OPEN,64,ARMED ROBBERY,2018-05-12 05:45:00,14 64,ARMED ROBBERY,BLACK,MALE,,2.0,VICTIM,WHITE,MALE,60.0,1.0,Non-fatal,,Incident Report,2018,,,,64G
E-14809-18,8,Saint Charles Av & Andrew Higgins,OPEN,64,ARMED ROBBERY,2018-05-12 05:45:00,14 64,ARMED ROBBERY,BLACK,MALE,,4.0,VICTIM,WHITE,MALE,60.0,1.0,Non-fatal,,Incident Report,2018,,,,64G
E-14809-18,8,Saint Charles Av & Andrew Higgins,OPEN,64,ARMED ROBBERY,2018-05-12 05:45:00,14 (24) (27) 64,PRINCIPAL TO ATTEMPTED ARMED ROBBERY,WHITE,FEMALE,,1.0,VICTIM,WHITE,MALE,60.0,1.0,Non-fatal,,Incident Report,2018,,,,64G
E-14809-18,8,Saint Charles Av & Andrew Higgins,OPEN,64,ARMED ROBBERY,2018-05-12 05:45:00,14 64,ARMED ROBBERY,BLACK,MALE,,3.0,VICTIM,WHITE,MALE,60.0,1.0,Non-fatal,,Incident Report,2018,,,,64G
L-34046-18,8,Dauphine St & Burgundy St,OPEN,21,MISCELLANEOUS INCIDENT,2018-12-27 00:28:00,,,,,,,INTERVIEW,BLACK,MALE,52.0,2.0,Non-fatal,,Incident Report,2018,,,,21
L-34046-18,8,Dauphine St & Burgundy St,OPEN,21,MISCELLANEOUS INCIDENT,2018-12-27 00:28:00,,,,,,,INTERVIEW,WHITE,MALE,49.0,1.0,Non-fatal,,Incident Report,2018,,,,21
I-36155-18,8,N Rampart St & Dumaine St,OPEN,65,SIMPLE ROBBERY,2018-09-29 01:35:00,14 65,SIMPLE ROBBERY,BLACK,MALE,,2.0,VICTIM,WHITE,MALE,44.0,1.0,Non-fatal,,Incident Report,2018,,,,65
I-36155-18,8,N Rampart St & Dumaine St,OPEN,65,SIMPLE ROBBERY,2018-09-29 01:35:00,14 65,SIMPLE ROBBERY,BLACK,FEMALE,,1.0,VICTIM,WHITE,MALE,44.0,1.0,Non-fatal,,Incident Report,2018,,,,65
E-15186-18,4,44XX Woodland Dr,OPEN,34S,AGGRAVATED BATTERY (SHOOTING),2018-05-12 16:00:00,14 34,AGG. BATTERY,BLACK,MALE,,1.0,VICTIM,BLACK,MALE,23.0,1.0,Non-fatal,,Incident Report,2018,,,,34S
E-15186-18,4,44XX Woodland Dr,OPEN,34S,AGGRAVATED BATTERY (SHOOTING),2018-05-12 16:00:00,14 34,AGG. BATTERY,BLACK,MALE,,1.0,VICTIM,BLACK,MALE,23.0,1.0,Non-fatal,,Incident Report,2018,,,,34S
E-16018-18,6,28XX Saint Charles Av,OPEN,62C,SIMPLE BURGLARY (VEHICLE),2018-05-13 04:00:00,14 62,SIMPLE BURGLARY,,,,1.0,VICTIM,WHITE,MALE,32.0,1.0,Non-fatal,,Incident Report,2018,,,,62C
E-16018-18,6,28XX Saint Charles Av,OPEN,62C,SIMPLE BURGLARY (VEHICLE),2018-05-13 04:00:00,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,,,,1.0,VICTIM,WHITE,MALE,32.0,1.0,Non-fatal,,Incident Report,2018,,,,62C
I-35442-18,1,22XX Lapeyrouse St 2,OPEN,21,MISCELLANEOUS INCIDENT,2018-09-28 13:00:00,,,,,,,VICTIM,BLACK,FEMALE,56.0,1.0,Non-fatal,,Incident Report,2018,,,,20I
L-20593-18,2,42XX Washington Av,CLOSED,67,THEFT,2018-12-16 01:30:00,,,,,,,VICTIM,BLACK,MALE,46.0,1.0,Non-fatal,,Supplemental Report,2018,,,,67
D-00766-18,3,52XX Bancroft Dr,OPEN,67A,AUTO THEFT,2018-04-01 15:35:00,,,,,,,VICTIM,,,,1.0,Non-fatal,,Supplemental Report,2018,,,,67A
I-02221-18,8,Decatur St & Iberville St,OPEN,34,AGGRAVATED BATTERY,2018-09-02 19:50:00,,,BLACK,MALE,27.0,1.0,WITNESS,HISPANIC,FEMALE,54.0,3.0,Non-fatal,,Supplemental Report,2018,,,,34
I-02221-18,8,Decatur St & Iberville St,OPEN,34,AGGRAVATED BATTERY,2018-09-02 19:50:00,,,BLACK,MALE,27.0,1.0,INTERVIEW,HISPANIC,MALE,29.0,4.0,Non-fatal,,Supplemental Report,2018,,,,34
I-02221-18,8,Decatur St & Iberville St,OPEN,34,AGGRAVATED BATTERY,2018-09-02 19:50:00,,,BLACK,MALE,27.0,1.0,WITNESS,WHITE,FEMALE,33.0,2.0,Non-fatal,,Supplemental Report,2018,,,,34
I-02221-18,8,Decatur St & Iberville St,OPEN,34,AGGRAVATED BATTERY,2018-09-02 19:50:00,14 34,AGG. BATTERY,BLACK,MALE,27.0,1.0,VICTIM,HISPANIC,MALE,44.0,1.0,Non-fatal,,Supplemental Report,2018,,,,34
I-02221-18,8,Decatur St & Iberville St,OPEN,34,AGGRAVATED BATTERY,2018-09-02 19:50:00,,,BLACK,MALE,27.0,1.0,INTERVIEW,BLACK,FEMALE,34.0,5.0,Non-fatal,,Supplemental Report,2018,,,,34
H-05513-18,8,4XX Royal St,OPEN,65,SIMPLE ROBBERY,2018-08-04 04:30:00,14 43.1.1,MISDEMEANOR SEXUAL BATTERY,BLACK,MALE,,2.0,VICTIM,,,,1.0,Non-fatal,,Supplemental Report,2018,,,,65
H-05513-18,8,4XX Royal St,OPEN,65,SIMPLE ROBBERY,2018-08-04 04:30:00,14 43.1.1,MISDEMEANOR SEXUAL BATTERY,BLACK,MALE,,2.0,VICTIM,,,,1.0,Non-fatal,,Supplemental Report,2018,,,,65
H-05513-18,8,4XX Royal St,OPEN,65,SIMPLE ROBBERY,2018-08-04 04:30:00,14 43.1.1,MISDEMEANOR SEXUAL BATTERY,BLACK,MALE,,2.0,VICTIM,,,,1.0,Non-fatal,,Supplemental Report,2018,,,,65
H-05513-18,8,4XX Royal St,OPEN,65,SIMPLE ROBBERY,2018-08-04 04:30:00,14 65,SIMPLE ROBBERY,BLACK,MALE,,2.0,VICTIM,,,,1.0,Non-fatal,,Supplemental Report,2018,,,,65
H-05513-18,8,4XX Royal St,OPEN,65,SIMPLE ROBBERY,2018-08-04 04:30:00,14 65,SIMPLE ROBBERY,BLACK,MALE,,2.0,VICTIM,,,,1.0,Non-fatal,,Supplemental Report,2018,,,,65
H-05513-18,8,4XX Royal St,OPEN,65,SIMPLE ROBBERY,2018-08-04 04:30:00,14 65,SIMPLE ROBBERY,BLACK,MALE,,2.0,VICTIM,,,,1.0,Non-fatal,,Supplemental Report,2018,,,,65
H-05513-18,8,4XX Royal St,OPEN,65,SIMPLE ROBBERY,2018-08-04 04:30:00,14 65,SIMPLE ROBBERY,BLACK,MALE,,1.0,VICTIM,,,,1.0,Non-fatal,,Supplemental Report,2018,,,,65
H-05513-18,8,4XX Royal St,OPEN,65,SIMPLE ROBBERY,2018-08-04 04:30:00,14 65,SIMPLE ROBBERY,BLACK,MALE,,1.0,VICTIM,,,,1.0,Non-fatal,,Supplemental Report,2018,,,,65
H-05513-18,8,4XX Royal St,OPEN,65,SIMPLE ROBBERY,2018-08-04 04:30:00,14 65,SIMPLE ROBBERY,BLACK,MALE,,1.0,VICTIM,,,,1.0,Non-fatal,,Supplemental Report,2018,,,,65
E-20760-18,4,Life Center Dr & General De Gaulle Dr,OPEN,30S,HOMICIDE (SHOOTING),2018-05-06 11:06:00,14 30,FIRST DEGREE MURDER,,,,1.0,VICTIM,BLACK,MALE,,1.0,Non-fatal,,Incident Report,2018,,,,30
E-20760-18,4,Life Center Dr & General De Gaulle Dr,OPEN,30S,HOMICIDE (SHOOTING),2018-05-06 11:06:00,14 (27) 30,ATTEMPT - FIRST DEGREE MURDER,,,,1.0,VICTIM,BLACK,MALE,,2.0,Non-fatal,,Incident Report,2018,,,,30
H-38100-18,7,43XX Dale St,OPEN,37,AGGRAVATED ASSAULT,2018-08-30 01:06:00,14 94,ILLEGAL USE OF WEAPONS,BLACK,MALE,,1.0,VICTIM,,,,2.0,Non-fatal,,Incident Report,2018,,,,37
H-38100-18,7,43XX Dale St,OPEN,37,AGGRAVATED ASSAULT,2018-08-30 01:06:00,14 37.4,AGGRAVATED ASSAULT WITH A FIREARM,BLACK,MALE,,2.0,VICTIM,HISPANIC,MALE,33.0,1.0,Non-fatal,,Incident Report,2018,,,,37
H-38100-18,7,43XX Dale St,OPEN,37,AGGRAVATED ASSAULT,2018-08-30 01:06:00,14 55,AGG. CRIMINAL DAMAGE,BLACK,MALE,,1.0,VICTIM,HISPANIC,MALE,33.0,1.0,Non-fatal,,Incident Report,2018,,,,37
H-38100-18,7,43XX Dale St,OPEN,37,AGGRAVATED ASSAULT,2018-08-30 01:06:00,14 37.4,AGGRAVATED ASSAULT WITH A FIREARM,BLACK,MALE,,1.0,VICTIM,HISPANIC,MALE,33.0,1.0,Non-fatal,,Incident Report,2018,,,,37
H-38100-18,7,43XX Dale St,OPEN,37,AGGRAVATED ASSAULT,2018-08-30 01:06:00,14 55,AGG. CRIMINAL DAMAGE,BLACK,MALE,,2.0,VICTIM,HISPANIC,MALE,33.0,1.0,Non-fatal,,Incident Report,2018,,,,37
H-38100-18,7,43XX Dale St,OPEN,37,AGGRAVATED ASSAULT,2018-08-30 01:06:00,14 94,ILLEGAL USE OF WEAPONS,BLACK,MALE,,2.0,VICTIM,,,,2.0,Non-fatal,,Incident Report,2018,,,,37
I-21744-18,8,1XX Bourbon St,OPEN,103F,DISTURBANCE (FIGHT),2018-09-18 04:34:00,54 96,BATTERY,WHITE,MALE,22.0,1.0,VICTIM,ASIAN,MALE,36.0,1.0,Non-fatal,,Supplemental Report,2018,,,,103F
I-21744-18,8,1XX Bourbon St,OPEN,103F,DISTURBANCE (FIGHT),2018-09-18 04:34:00,,,WHITE,MALE,22.0,1.0,INTERVIEW,ASIAN,MALE,36.0,1.0,Non-fatal,,Supplemental Report,2018,,,,103F
D-20554-18,7,69XX Chef Menteur,CLOSED,34,AGGRAVATED BATTERY,2018-04-18 12:04:00,,,,,,,VICTIM,BLACK,MALE,34.0,1.0,Non-fatal,,Supplemental Report,2018,,,,20 I/F
I-33488-18,4,32XX Luna St,OPEN,30S,HOMICIDE (SHOOTING),2018-09-27 02:00:00,14 30,FIRST DEGREE MURDER,,,,1.0,VICTIM,BLACK,FEMALE,,1.0,Fatal,,Incident Report,2018,,,,30-S
L-21985-18,4,59XX Tullis Dr,CLOSED,966,DRUG LAW VIOLATION,2018-12-17 14:20:00,40 967,PROHIBITED ACTS-- SCHEDULE II DRUGS,BLACK,MALE,35.0,1.0,VICTIM,,,,1.0,Non-fatal,,Incident Report,2018,,,,966
L-21985-18,4,59XX Tullis Dr,CLOSED,966,DRUG LAW VIOLATION,2018-12-17 14:20:00,40 967,PROHIBITED ACTS-- SCHEDULE II DRUGS,BLACK,MALE,35.0,1.0,VICTIM,,,,1.0,Non-fatal,,Incident Report,2018,,,,966
L-21985-18,4,59XX Tullis Dr,CLOSED,966,DRUG LAW VIOLATION,2018-12-17 14:20:00,40 969,PROHIBITED ACTS-- SCHEDULE IV DRUGS,BLACK,MALE,35.0,1.0,VICTIM,,,,1.0,Non-fatal,,Incident Report,2018,,,,966
L-21985-18,4,59XX Tullis Dr,CLOSED,966,DRUG LAW VIOLATION,2018-12-17 14:20:00,40 966,PROHIBITED ACTS--SCHEDULE I DRUGS,BLACK,MALE,35.0,1.0,VICTIM,,,,1.0,Non-fatal,,Incident Report,2018,,,,966
L-21985-18,4,59XX Tullis Dr,CLOSED,966,DRUG LAW VIOLATION,2018-12-17 14:20:00,40 967,PROHIBITED ACTS-- SCHEDULE II DRUGS,BLACK,MALE,60.0,2.0,VICTIM,,,,1.0,Non-fatal,,Incident Report,2018,,,,966
I-36885-18,5,23XX Saint Claude Av,OPEN,67,THEFT,2018-09-29 16:21:00,14 67,THEFT,,,,1.0,VICTIM,WHITE,FEMALE,64.0,1.0,Non-fatal,,Incident Report,2018,,,,67
I-36885-18,5,23XX Saint Claude Av,OPEN,67,THEFT,2018-09-29 16:21:00,,,,,,1.0,INTERVIEW,BLACK,MALE,52.0,2.0,Non-fatal,,Incident Report,2018,,,,67
D-26748-18,4,Socrates St & Flanders St,OPEN,64J,ARMED CARJACKING,2018-04-22 23:20:00,,,,,,,VICTIM,BLACK,MALE,52.0,2.0,Non-fatal,,Supplemental Report,2018,,,,64J
D-26748-18,4,Socrates St & Flanders St,OPEN,64J,ARMED CARJACKING,2018-04-22 23:20:00,,,,,,,VICTIM,HISPANIC,MALE,35.0,1.0,Non-fatal,,Supplemental Report,2018,,,,64J
I-18908-18,7,41XX Cessna Ct,CLOSED,94,ILLEGAL USE OF WEAPONS,2018-09-15 22:00:00,,,BLACK,MALE,22.0,1.0,REPORTING PERSON,BLACK,FEMALE,42.0,1.0,Non-fatal,,Incident Report,2018,,,,94
L-29356-18,8,3XX Bourbon St,OPEN,67P,PICKPOCKET,2018-12-22 21:15:00,,,BLACK,MALE,,2.0,WITNESS,WHITE,FEMALE,56.0,1.0,Non-fatal,,Incident Report,2018,,,,67
L-29356-18,8,3XX Bourbon St,OPEN,67P,PICKPOCKET,2018-12-22 21:15:00,14 67,THEFT,BLACK,FEMALE,,1.0,VICTIM,WHITE,MALE,58.0,1.0,Non-fatal,,Incident Report,2018,,,,67
L-29356-18,8,3XX Bourbon St,OPEN,67P,PICKPOCKET,2018-12-22 21:15:00,14 67,THEFT,BLACK,MALE,,2.0,VICTIM,WHITE,MALE,58.0,1.0,Non-fatal,,Incident Report,2018,,,,67
L-29356-18,8,3XX Bourbon St,OPEN,67P,PICKPOCKET,2018-12-22 21:15:00,,,BLACK,FEMALE,,1.0,WITNESS,WHITE,FEMALE,56.0,1.0,Non-fatal,,Incident Report,2018,,,,67
E-04922-18,1,25XX Dumaine St,CLOSED,21,MISCELLANEOUS INCIDENT,2018-05-11 10:00:00,40 966,PROHIBITED ACTS--SCHEDULE I DRUGS,BLACK,MALE,32.0,2.0,VICTIM,,,,1.0,Non-fatal,,Incident Report,2018,,,,21
E-04922-18,1,25XX Dumaine St,CLOSED,21,MISCELLANEOUS INCIDENT,2018-05-11 10:00:00,,,BLACK,MALE,18.0,1.0,VICTIM,,,,1.0,Non-fatal,,Incident Report,2018,,,,21
D-25704-18,1,30XX Maurepas St,CLOSED,64G,ARMED ROBBERY (GUN),2018-04-22 00:33:00,,,,,,,VICTIM,,,,1.0,Non-fatal,,Supplemental Report,2018,,,,64 G
E-03787-18,7,71XX Grey Oaks St,OPEN,67A,AUTO THEFT,2018-05-03 15:30:00,14 69,ILLEGAL POSSESSION OF STOLEN THINGS,BLACK,MALE,19.0,1.0,VICTIM,,,,1.0,Non-fatal,,Supplemental Report,2018,,,,67A
E-19600-18,8,7XX Bienville St,OPEN,67P,PICKPOCKET,2018-05-16 02:48:00,14 35,SIMPLE BATTERY,BLACK,FEMALE,,2.0,VICTIM,WHITE,MALE,43.0,1.0,Non-fatal,,Incident Report,2018,,,,67p
E-19600-18,8,7XX Bienville St,OPEN,67P,PICKPOCKET,2018-05-16 02:48:00,14 35,SIMPLE BATTERY,BLACK,FEMALE,,3.0,VICTIM,WHITE,MALE,43.0,1.0,Non-fatal,,Incident Report,2018,,,,67p
E-19600-18,8,7XX Bienville St,OPEN,67P,PICKPOCKET,2018-05-16 02:48:00,14 35,SIMPLE BATTERY,BLACK,MALE,,1.0,VICTIM,WHITE,MALE,43.0,1.0,Non-fatal,,Incident Report,2018,,,,67p
E-19600-18,8,7XX Bienville St,OPEN,67P,PICKPOCKET,2018-05-16 02:48:00,14 67,THEFT,BLACK,MALE,,1.0,VICTIM,WHITE,MALE,43.0,1.0,Non-fatal,,Incident Report,2018,,,,67p
E-26825-18,8,4XX Bourbon St,OPEN,21P,LOST PROPERTY,2018-05-21 23:40:00,,,,,,,REPORTING PERSON,WHITE,MALE,64.0,1.0,Non-fatal,,Incident Report,2018,,,,65
E-25950-18,1,18XX N Broad St,CLOSED,65,SIMPLE ROBBERY,2018-05-19 17:00:00,14 65,SIMPLE ROBBERY,BLACK,MALE,21.0,1.0,VICTIM,,,,1.0,Non-fatal,,Supplemental Report,2018,,,,65
D-22923-18,7,57XX Crowder Bd,CLOSED,64G,ARMED ROBBERY (GUN),2018-04-19 19:55:00,,,,,,,,,,,,Non-fatal,,Supplemental Report,2018,,,,64G
E-03042-18,1,N Lopez St & De Soto St,OPEN,64G,ARMED ROBBERY (GUN),2018-05-03 06:50:00,14 64,ARMED ROBBERY,BLACK,MALE,,1.0,VICTIM,WHITE,FEMALE,62.0,1.0,Non-fatal,,Incident Report,2018,,,,64G
E-25218-18,3,27XX Bruxelles St,OPEN,30S,HOMICIDE (SHOOTING),2018-05-20 16:27:00,14 30,FIRST DEGREE MURDER,,,,1.0,VICTIM,BLACK,MALE,,1.0,Fatal,,Incident Report,2018,,,,30S
E-26057-18,6,43XX La Salle,OPEN,67AR,AUTO THEFT & RECOVERY,2018-05-20 23:15:00,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,UNKNOWN,,,1.0,VICTIM,UNKNOWN,MALE,35.0,1.0,Non-fatal,,Incident Report,2018,,,,67AR
E-26057-18,6,43XX La Salle,OPEN,67AR,AUTO THEFT & RECOVERY,2018-05-20 23:15:00,14 67.26,THEFT OF A MOTOR VEHICLE,,,,3.0,VICTIM,UNKNOWN,MALE,35.0,1.0,Non-fatal,,Incident Report,2018,,,,67AR
E-26057-18,6,43XX La Salle,OPEN,67AR,AUTO THEFT & RECOVERY,2018-05-20 23:15:00,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,,,,3.0,VICTIM,UNKNOWN,MALE,35.0,1.0,Non-fatal,,Incident Report,2018,,,,67AR
