,latitude,longitude,item_number
501,30.027116,-89.992026,i2115918
614,30.0258175,-90.0011773,i3012318
629,30.0258175,-90.0011773,i3012318
868,29.9547116,-90.069155,d1599418
869,29.9386565,-90.0358744,e3432818
874,29.9461739,-90.1197572,i0413218
875,29.930204,-90.0192769,i0323118
879,29.930204,-90.0192769,i0323118
883,29.930204,-90.0192769,i0323118
887,29.930204,-90.0192769,i0323118
891,29.9547116,-90.069155,d3468818
897,29.936456,-90.026733,e0936618
901,29.936456,-90.026733,e0936618
905,29.936456,-90.026733,e0936618
909,29.9695151,-90.0838153,e3592518
912,29.9695151,-90.0838153,e3592518
915,29.9695151,-90.0838153,e3592518
918,29.9538711,-90.0698991,j0048918
959,29.9528731,-90.1317272,d1304218
964,29.9587961,-90.1172672,e3702318
966,29.947339,-90.1281357,e3749618
967,29.9380076,-90.0413713,d0790918
1003,29.9390577,-90.0945582,e0359818
1009,29.9390577,-90.0945582,e0359818
1015,29.9390577,-90.0945582,e0359818
1021,29.969779,-90.0395958,f0079718
1023,29.969779,-90.0395958,f0079718
1025,29.9672124,-90.0331624,f0199418
1045,29.9223387,-90.1078948,j3234618
1063,30.0065753,-90.118539,i3807918
1065,30.0065753,-90.118539,i3807918
1067,29.9580265,-90.085768,f0274918
1069,29.9580265,-90.085768,f0274918
1071,29.9547116,-90.069155,j0017618
1079,29.9547116,-90.069155,j0017618
1087,29.9547116,-90.069155,j0017618
1095,29.9547116,-90.069155,j0017618
1103,29.9547116,-90.069155,j0017618
1111,29.9547116,-90.069155,j0017618
1145,29.9350037,-90.0756419,d0482018
1156,30.0212488,-90.0227379,e3986418
1157,29.9274023,-90.0864316,l0935618
1158,30.0212488,-90.0227379,g3034918
1187,29.943336,-90.052053,i2519518
1193,29.943336,-90.052053,i2519518
1199,29.9592653,-90.0704119,i2262618
1201,29.9592653,-90.0704119,i2262618
1203,29.9961848,-90.0710402,e1585918
1204,29.9743819,-90.0402887,e3354518
1205,29.9594343,-90.070663,f1236018
1211,29.9594343,-90.070663,f1236018
1217,29.9594343,-90.070663,f1236018
1223,29.9594343,-90.070663,f1236018
1229,29.9594343,-90.070663,f1236018
1235,29.9594343,-90.070663,f1236018
1241,29.9547116,-90.069155,i3082218
1245,29.9151582,-89.9929658,f0993818
1247,29.9151582,-89.9929658,f0993818
1267,29.944997,-90.079105,j1637918
1303,29.9043332,-89.9923507,f1162018
1304,29.9355767,-90.0803738,f0555018
1305,29.944997,-90.079105,k3167818
1306,29.9961754,-90.0591483,j3590618
1326,29.9961754,-90.0591483,j3590618
1346,29.9961754,-90.0591483,j3590618
1366,29.9961754,-90.0591483,j3590618
1386,29.9961754,-90.0591483,j3590618
1406,29.9529913,-90.0686006,d2978818
1407,29.9684843,-90.0840786,f1032218
1409,29.9684843,-90.0840786,f1032218
1411,29.966589,-90.06959599999999,i2412618
1413,29.966589,-90.06959599999999,i2412618
1419,29.9979087,-90.1718086,e3504018
1422,29.9979087,-90.1718086,e3504018
1425,29.9571463,-90.0727351,i2248218
1427,29.9571463,-90.0727351,i2248218
1429,29.9169379,-90.1034754,f1562218
1433,29.971754,-90.0335649,e0001118
1434,29.947888,-90.091357,l3281518
1435,29.9563033,-90.0648438,h1210918
1437,29.9563033,-90.0648438,h1210918
1439,29.9571463,-90.0727351,i3174118
1464,29.9776514,-90.0767059,f0810718
1470,29.9776514,-90.0767059,f0810718
1476,29.9548753,-90.0675617,f1492918
1477,29.9578082,-90.0737267,i2909218
1479,29.9578082,-90.0737267,i2909218
1481,29.9538711,-90.0698991,f1843218
1482,29.9547116,-90.069155,f1793018
1485,29.9547116,-90.069155,f1793018
1488,29.9547116,-90.069155,f1793018
1530,29.9995709,-90.0811867,f0450618
1538,29.9995709,-90.0811867,f0450618
1542,29.9995709,-90.0811867,f0450618
1546,29.9547116,-90.069155,f2447018
1550,29.9641516,-90.0577984,j0080118
1551,29.9619177,-90.1009019,j2281018
1596,29.9590324,-90.0652928,f2851118
1616,29.9590324,-90.0652928,f2851118
1636,29.9590324,-90.0652928,f2851118
1656,29.9590324,-90.0652928,f2851118
1756,29.9590324,-90.0652928,f2851118
1776,29.9590324,-90.0652928,f2851118
1796,29.9590324,-90.0652928,f2851118
1816,29.9590324,-90.0652928,f2851118
1836,29.9590324,-90.0652928,f2851118
1856,29.9590324,-90.0652928,f2851118
1876,29.9590324,-90.0652928,f2851118
1896,29.9590324,-90.0652928,f2851118
1916,29.9590324,-90.0652928,f2851118
1936,29.9590324,-90.0652928,f2851118
1965,29.94648,-90.05227,f2709118
1974,29.94648,-90.05227,f2709118
1983,29.94648,-90.05227,f2709118
1992,29.94648,-90.05227,f2709118
2001,29.94648,-90.05227,f2709118
2010,29.94648,-90.05227,f2709118
2019,29.94648,-90.05227,f2709118
2057,29.9593983,-90.0723156,l2338418
2059,29.9593983,-90.0723156,l2338418
2085,29.9548559,-90.1033765,f2739918
2087,29.9587173,-90.0713213,h1491518
2098,29.9587961,-90.1172672,e0403418
2100,29.966568,-90.0714569,f2160418
2101,29.9718607,-90.03897,f3465018
2102,29.9385231,-90.0236937,f2401818
2108,29.9385231,-90.0236937,f2401818
2114,29.9385231,-90.0236937,f2401818
2120,29.9385231,-90.0236937,f2401818
2126,29.9385231,-90.0236937,f2401818
2139,29.9776514,-90.0767059,l3333718
2140,29.9981618,-90.0605101,l3344518
2141,29.9538711,-90.0698991,f3642618
2147,29.9538711,-90.0698991,f3642618
2150,29.9339708,-90.0416334,j0250918
2158,29.9339708,-90.0416334,j0250918
2166,29.9547116,-90.069155,f3241918
2167,29.9921256,-90.0541057,f2150518
2168,29.9665153,-90.0646093,i3591118
2180,29.9665153,-90.0646093,i3591118
2192,29.9665153,-90.0646093,i3591118
2204,29.9547116,-90.069155,g0019318
2207,29.9547116,-90.069155,g0019318
2210,29.9547116,-90.069155,g0019318
2222,30.0277211,-90.0252263,e1071218
2223,29.9399936,-90.01875000000001,j0392118
2233,29.9949701,-90.0576183,d3189318
2237,29.9949701,-90.0576183,d3189318
2241,29.9949701,-90.0576183,d3189318
2245,29.9949701,-90.0576183,d3189318
2249,30.0212488,-90.0227379,g3901518
2252,30.0212488,-90.0227379,g3901518
2255,30.0212488,-90.0227379,g3901518
2258,29.967587,-90.086426,g0598718
2279,29.9254093,-90.0735938,g0821818
2281,29.964377,-90.040264,k1967418
2282,29.9574928,-90.06953299999999,k0305918
2283,29.9538711,-90.0698991,g0447518
2284,29.9587961,-90.1172672,f2943118
2288,30.0170106,-90.01259600000002,d1022718
2289,29.936036,-90.0337573,i3788918
2290,29.9695719,-90.1175757,h1690818
2292,29.9695719,-90.1175757,h1690818
2294,29.9587961,-90.1172672,f0123718
2305,30.008589,-89.991871,f2722418
2308,29.9647395,-90.0687916,f0323718
2377,29.959472,-90.06489429999999,g0362218
2401,29.9552099,-90.0714454,k0943618
2402,29.938177,-90.02658439999999,l1034318
2403,29.975148,-90.090387,g1241018
2413,29.965525,-90.0680776,f3192918
2417,29.9547116,-90.069155,g1804718
2419,30.0212488,-90.0227379,j0276518
2420,29.9332312,-90.0841896,d1336718
2421,29.9392017,-90.0866475,f1313019
2425,29.9199523,-90.0990237,g1557318
2426,29.9704015,-90.0790562,i3832318
2428,29.9704015,-90.0790562,i3832318
2455,29.9476489,-90.1301495,e2815518
2456,29.9641516,-90.0577984,h3043418
2457,30.038291,-89.976918,f2387718
2459,30.038291,-89.976918,f2387718
2461,29.9562778,-90.0677477,h1164718
2462,29.993085,-90.055202,f0098118
2463,29.9577248,-90.07178400000001,g0718618
2465,29.9577248,-90.07178400000001,g0718618
2467,29.9386892,-90.0890123,f0381018
2469,29.9386892,-90.0890123,f0381018
2502,29.9547116,-90.069155,g2027218
2505,29.9645475,-90.1162464,g2013218
2506,29.9538711,-90.0698991,g1563718
2508,29.9538711,-90.0698991,g1563718
2510,29.9563033,-90.0648438,g2721618
2512,29.9563033,-90.0648438,g2721618
2551,29.9246622,-90.1065577,g1981818
2552,29.9697601,-90.0996782,i3604218
2553,29.9043332,-89.9923507,g2630818
2568,29.9547116,-90.069155,g3319218
2570,29.9547116,-90.069155,g3319218
2582,29.9547116,-90.069155,l3188118
2583,30.0178418,-90.060975,g3314518
2593,30.0178418,-90.060975,g3314518
2619,29.9299243,-90.0184541,g2676618
2621,29.9538711,-90.0698991,g2149218
2622,29.9547116,-90.069155,g1154918
2752,29.9547116,-90.069155,j0708318
2952,29.9547116,-90.069155,j0708318
2972,29.9547116,-90.069155,j0708318
3038,29.91753199999999,-90.0084277,e3040118
3043,29.970353,-90.037182,g1765818
3045,29.947888,-90.091357,g3516918
3046,29.9046247,-89.9916922,g3038818
3059,29.9531353,-90.1359694,j0328918
3071,29.9531353,-90.1359694,j0328918
3083,29.9684843,-90.0840786,g1408418
3084,29.9930957,-90.0857632,g3506418
3088,29.9212516,-90.0226707,f0017618
3339,30.0471757,-89.965504,f1921018
3589,30.0471757,-89.965504,f1921018
4839,30.0471757,-89.965504,f1921018
5089,30.0471757,-89.965504,f1921018
5339,30.0471757,-89.965504,f1921018
5595,29.9299243,-90.0184541,g3731318
5606,30.0472749,-89.96219789999999,g3180518
5612,29.9169379,-90.1034754,g3594418
5613,29.9547116,-90.069155,j3337418
5617,30.0454459,-89.9797872,g3205618
5626,29.9547116,-90.069155,f2877418
5629,29.9547116,-90.069155,f2877418
5632,29.9547116,-90.069155,f2877418
5652,29.9205916,-89.9926658,g3323918
5661,29.9205916,-89.9926658,g3323918
5670,29.9205916,-89.9926658,g3323918
5679,29.9205916,-89.9926658,g3323918
5688,29.9205916,-89.9926658,g3323918
5744,29.9361026,-90.0851819,g0272718
5748,29.9571302,-90.0624389,e0685118
5751,29.9571302,-90.0624389,e0685118
5754,29.9571302,-90.0624389,e0685118
5757,29.9538711,-90.0698991,g3770918
5777,29.9538711,-90.0698991,g3770918
6017,29.9538711,-90.0698991,g3770918
6037,29.9538711,-90.0698991,g3770918
6267,29.969779,-90.0395958,h0624218
6273,29.969779,-90.0395958,h0624218
6289,29.9718607,-90.03897,g3574518
6298,29.9547116,-90.069155,l3801918
6301,29.9212516,-90.0226707,g1742218
6302,30.018922,-90.0680555,g3460318
6457,29.9486643,-90.1155324,h0953018
6485,29.9949701,-90.0576183,j1090318
6497,29.9599205,-90.0113436,j0386218
6535,29.9000317,-90.0088529,d3357218
6545,29.9000317,-90.0088529,d3357218
6555,29.9000317,-90.0088529,d3357218
6605,29.9000317,-90.0088529,d3357218
6635,29.944603,-90.091353,d2134918
6636,29.9586105,-90.0656755,d1486318
6676,30.0142574,-90.0489376,d1755918
6746,29.9704328,-90.0810356,d2467118
6750,29.9704328,-90.0810356,d2467118
6754,29.9704328,-90.0810356,d2467118
6758,29.9704328,-90.0810356,d2467118
6762,29.9293911,-90.0920491,d1294218
6778,29.9293911,-90.0920491,d1294218
6794,29.9293911,-90.0920491,d1294218
6810,29.9293911,-90.0920491,d1294218
6826,29.9547116,-90.069155,d2045918
6828,29.9547116,-90.069155,d2045918
6830,29.9942518,-90.0647933,e0814318
6831,29.9941216,-90.0778716,d2070118
6856,29.9293503,-90.07155329999999,d3416818
6864,29.9434197,-90.0871243,k0463118
6865,30.034901,-89.990265,j0680718
6866,29.9043332,-89.9923507,e0191418
6878,29.9043332,-89.9923507,e0191418
6882,29.9547116,-90.069155,d0539518
6896,29.968199,-90.101478,e0404618
6900,29.968199,-90.101478,e0404618
6904,29.968199,-90.101478,e0404618
6908,30.0272622,-89.9833907,j0983018
6917,29.9712936,-90.06177799999999,d1864518
6935,30.008589,-89.991871,d1285418
6941,30.008589,-89.991871,d1285418
6947,30.008589,-89.991871,d1285418
6953,30.008589,-89.991871,d1285418
6959,30.008589,-89.991871,d1285418
6965,29.9451537,-90.0409188,k0360018
6974,30.027116,-89.992026,d0829818
6978,30.027116,-89.992026,d0829818
6982,29.9645701,-90.0617806,f1591818
6984,29.9645701,-90.0617806,f1591818
6986,29.9426063,-90.0842726,j1088418
6987,29.967691,-90.040229,d2481218
6989,29.967691,-90.040229,d2481218
6991,29.9665542,-90.0866156,d2060218
6999,29.9665542,-90.0866156,d2060218
7007,29.9479533,-90.114452,d2577118
7009,29.9479533,-90.114452,d2577118
7011,29.9547116,-90.069155,c3547918
7012,29.9535004,-90.0673657,g2157018
7013,29.96819899999999,-90.101478,j1462218
7015,29.96819899999999,-90.101478,j1462218
7101,29.9565636,-90.1232378,d2030818
7143,29.9386892,-90.0890123,e0397518
7145,29.970353,-90.037182,d2357618
7146,30.0151117,-90.0101641,i0916918
7155,29.930204,-90.0192769,g2264118
7168,30.0102719,-90.0545649,i3549418
7169,29.9479533,-90.114452,d3042318
7198,29.9386892,-90.0890123,j1669518
7210,29.9386892,-90.0890123,j1669518
7222,29.9538711,-90.0698991,j1636718
7224,29.9538711,-90.0698991,j1636718
7226,29.9547116,-90.069155,d1484318
7233,29.9547116,-90.069155,d2932018
7236,29.9547116,-90.069155,d2932018
7239,29.9537971,-90.0731812,l3338518
7240,29.9570331,-90.06707469999999,j1436018
7241,29.9648022,-90.0376197,l3467318
7258,30.0099027,-90.0687468,g2146618
7260,30.0078769,-90.0516358,i2951318
7262,30.0078769,-90.0516358,i2951318
7264,29.9601232,-90.0753809,j1109818
7265,29.9538711,-90.0698991,j1783718
7267,29.9538711,-90.0698991,j1783718
7269,29.9577248,-90.07178400000001,l3605518
7275,29.9577248,-90.07178400000001,l3605518
7287,29.9577248,-90.07178400000001,l3605518
7293,29.9577248,-90.07178400000001,l3605518
7299,29.9577248,-90.07178400000001,l3605518
7305,29.9665542,-90.0866156,h0917818
7306,29.9582325,-90.06886999999999,j1807018
7314,29.9582325,-90.06886999999999,j1807018
7318,29.9582325,-90.06886999999999,j1807018
7322,29.9940309,-90.0564037,g0082918
7326,29.9940309,-90.0564037,g0082918
7339,30.027116,-89.992026,g1444618
7340,29.9043332,-89.9923507,h0460518
7341,29.961054,-90.0347944,h1761318
7353,29.961054,-90.0347944,h1761318
7377,29.9547116,-90.069155,g3459318
7389,29.9547116,-90.069155,g3459318
7395,29.9547116,-90.069155,g3459318
7401,29.9547116,-90.069155,g3459318
7407,29.9547116,-90.069155,g3459318
7651,29.9931187,-90.0546166,h0924918
7761,29.9645701,-90.0617806,h2122918
7762,29.936466,-90.0865968,h2125018
7763,30.0141232,-90.0204593,f2519218
7767,29.9587173,-90.0713213,h0994118
7768,29.9547116,-90.069155,h1728618
7769,29.9631935,-90.07138619999999,h1504718
7772,29.9631935,-90.07138619999999,h1504718
7824,29.9601268,-90.0696,h1600118
7825,30.027116,-89.992026,g0826318
7828,29.9318554,-90.1074237,k3941718
7830,30.025658,-89.999538,h2629818
7833,30.025658,-89.999538,h2629818
7836,30.025658,-89.999538,h2629818
7839,29.9718607,-90.03897,d2899318
7842,29.9718607,-90.03897,d2899318
7917,29.9517168,-90.0673319,j1879418
7927,29.9517168,-90.0673319,j1879418
7937,29.9517168,-90.0673319,j1879418
7965,29.9689891,-90.0729986,i3437218
7968,29.9689891,-90.0729986,i3437218
7971,30.0584153,-89.9605953,h2740818
7973,30.0584153,-89.9605953,h2740818
7975,29.9578324,-90.066373,j1812518
7991,29.9578324,-90.066373,j1812518
8007,29.9578324,-90.066373,j1812518
8023,29.9578324,-90.066373,j1812518
8066,29.9587173,-90.0713213,g3506318
8067,30.035134,-89.956428,h3146718
8068,29.9587173,-90.0713213,h1763818
8076,29.9587173,-90.0713213,h1763818
8084,29.960935,-90.0764506,h1380718
8088,29.9568097,-90.0950418,h2982318
8093,29.9587173,-90.0713213,h2839918
8094,29.9199523,-90.0990237,j1726418
8095,29.9576267,-90.06796349999999,h3039218
8099,29.9576267,-90.06796349999999,h3039218
8170,29.9635345,-90.05775609999999,h2760418
8171,29.962263,-90.1231945,h2691618
8173,29.962263,-90.1231945,h2691618
8175,29.956616,-90.0739442,h2979418
8176,29.970353,-90.037182,h2659018
8178,29.970353,-90.037182,h2659018
8180,29.9547116,-90.069155,g0079218
8182,29.9547116,-90.069155,g0079218
8184,29.9538711,-90.0698991,f1107718
8188,29.9593983,-90.0723156,h2845218
8219,30.015146,-90.018355,h0465818
8220,29.9538711,-90.0698991,h3233918
8221,29.9571463,-90.0727351,j0494818
8222,29.9538224,-90.0892731,h3485418
8223,29.9581214,-90.0859681,h1742818
8234,29.9582195,-90.0725013,j1116718
8235,29.9708988,-90.06451930000001,l1678918
8249,29.9237102,-90.0066438,h3487918
8257,29.9400743,-90.1146164,h3721918
8258,29.970353,-90.037182,h3235418
8260,29.970353,-90.037182,h3235418
8267,29.9645701,-90.0617806,j1962718
8271,29.9645701,-90.0617806,j1962718
8275,29.9645701,-90.0617806,j1962718
8279,29.9645701,-90.0617806,j1962718
8283,29.9547116,-90.069155,h3336418
8285,29.9547116,-90.069155,h3336418
8287,29.9930092,-90.0733595,h2125518
8289,29.9930092,-90.0733595,h2125518
8291,29.9547116,-90.069155,i0142318
8293,29.9547116,-90.069155,i0142318
8295,29.9747676,-90.0548833,j1776118
8308,29.9497074,-90.088715,i2221618
8325,29.9298656,-90.0219703,h3760118
8326,29.9834328,-90.071756,h3664718
8327,29.9538711,-90.0698991,i0437018
8328,29.9360921,-90.0276944,j2100218
8331,29.9360921,-90.0276944,j2100218
8352,29.9390103,-90.0930196,i0932618
8355,29.9390103,-90.0930196,i0932618
8391,29.9599205,-90.0113436,i1000318
8397,29.9599205,-90.0113436,i1000318
8403,29.9599205,-90.0113436,i1000318
8409,29.9599205,-90.0113436,i1000318
8415,30.05623599999999,-89.9712405,h3107418
8418,30.05623599999999,-89.9712405,h3107418
8421,30.05623599999999,-89.9712405,h3107418
8424,29.9776514,-90.0767059,i0692418
8430,29.9776514,-90.0767059,i0692418
8436,29.9776514,-90.0767059,i0692418
8442,29.9776514,-90.0767059,i0692418
8464,29.9355522,-90.0246302,g3243618
8470,29.9355522,-90.0246302,g3243618
8482,29.9355522,-90.0246302,g3243618
8488,29.9355522,-90.0246302,g3243618
8500,29.9412426,-90.1287291,h3805618
8520,29.9440505,-90.0657171,i1012418
8521,29.9250292,-90.042027,l1226918
8522,29.9326043,-90.0285942,i0472318
8524,29.9326043,-90.0285942,i0472318
8526,29.961054,-90.0347944,i1043118
8528,29.961054,-90.0347944,i1043118
8530,29.9254709,-90.0077803,i1172718
8531,29.970353,-90.037182,i0833618
8532,29.9547116,-90.069155,h1851718
8533,29.9571302,-90.0624389,g2929018
8535,29.9571302,-90.0624389,g2929018
8537,29.9348463,-90.0853936,i1088818
8545,29.9348463,-90.0853936,i1088818
8553,29.9941216,-90.0778716,h2978918
8557,29.9571302,-90.0624389,h2451218
8559,29.9571302,-90.0624389,h2451218
8561,29.9547116,-90.069155,g0881018
8562,29.9352198,-90.0258481,h3380618
8563,29.94510799999999,-90.0397807,i0123618
8566,29.94510799999999,-90.0397807,i0123618
8569,29.94510799999999,-90.0397807,i0123618
8580,29.9590324,-90.0652928,i1103318
8586,29.9590324,-90.0652928,i1103318
8592,29.9590324,-90.0652928,i1103318
8598,29.9590324,-90.0652928,i1103318
8604,29.9590324,-90.0652928,i1103318
8610,29.9665542,-90.0866156,h0542718
8611,29.9452066,-90.0901519,i0780718
8613,29.9452066,-90.0901519,i0780718
8615,30.050627,-89.9543301,k3909518
8616,29.970353,-90.037182,i0546918
8646,29.961054,-90.0347944,i1663718
8649,29.961054,-90.0347944,i1663718
8652,29.9212516,-90.0226707,g2679918
8675,29.9665542,-90.0866156,i1667518
8693,29.9269447,-90.0138507,h3066118
8695,29.9269447,-90.0138507,h3066118
8697,29.9298656,-90.0219703,i1349818
8699,29.9298656,-90.0219703,i1349818
8701,29.9517168,-90.0673319,i1398518
8706,29.9517168,-90.0673319,i1398518
8711,29.9517168,-90.0673319,i1398518
8726,29.960935,-90.0764506,i1449718
8738,29.960935,-90.0764506,i1449718
8750,29.960935,-90.0764506,i1449718
8762,30.0480478,-89.9783027,i0969918
8765,30.0480478,-89.9783027,i0969918
8768,30.0480478,-89.9783027,i0969918
8771,29.9360921,-90.0276944,e3594818
8773,29.9360921,-90.0276944,e3594818
8775,29.9043332,-89.9923507,i1095418
8832,29.9919801,-90.0732821,l2670418
8838,29.9919801,-90.0732821,l2670418
8844,29.9919801,-90.0732821,l2670418
8850,29.9919801,-90.0732821,l2670418
8856,29.9919801,-90.0732821,l2670418
8862,29.9599205,-90.0113436,h2731218
8871,29.961054,-90.0347944,h3286018
8874,29.9942518,-90.0647933,i1841818
8876,29.9992854,-90.04994760000001,h1616818
8877,29.9891529,-90.0526131,i2129218
8881,29.9891529,-90.0526131,i2129218
8885,29.9891529,-90.0526131,i2129218
8889,29.9891529,-90.0526131,i2129218
8893,29.9642092,-90.06802069999999,i1331118
8895,29.9642092,-90.06802069999999,i1331118
8897,29.9594343,-90.070663,i2241218
8907,29.9547116,-90.069155,i1920018
8918,29.9547116,-90.069155,i0985018
8920,29.9390103,-90.0930196,i2589918
8921,29.9423446,-90.0505801,i2311918
8923,29.9423446,-90.0505801,i2311918
8925,29.9629697,-90.1224422,i2016918
8927,29.9629697,-90.1224422,i2016918
8929,29.961054,-90.0347944,i2350618
8931,29.961054,-90.0347944,i2350618
8933,30.034901,-89.990265,l0062818
8935,30.034901,-89.990265,l0062818
8937,30.0469031,-89.9301541,i0491918
8938,29.9547116,-90.069155,i2779718
8940,29.9547116,-90.069155,i2779718
8942,29.9940309,-90.0564037,k0223118
8944,29.9940309,-90.0564037,k0223118
8946,29.9431228,-90.0824705,h3504518
8955,29.9570331,-90.06707469999999,i2723318
8957,29.9570331,-90.06707469999999,i2723318
8959,29.9996918,-90.05911239999999,i1768218
8965,29.9996918,-90.05911239999999,i1768218
8971,29.9996918,-90.05911239999999,i1768218
8977,29.9996918,-90.05911239999999,i1768218
8983,29.9996918,-90.05911239999999,i1768218
8989,29.9996918,-90.05911239999999,i1768218
8995,29.9547116,-90.069155,i1365718
8996,30.0309055,-89.996884,i2460118
8999,30.0309055,-89.996884,i2460118
9002,30.0309055,-89.996884,i2460118
9005,29.941614,-90.0252258,i2921118
9010,29.941614,-90.0252258,i2921118
9015,29.941614,-90.0252258,i2921118
9020,29.941614,-90.0252258,i2921118
9030,30.024935,-89.979903,f3364918
9046,30.024935,-89.979903,f3364918
9094,30.024935,-89.979903,f3364918
9110,30.024935,-89.979903,f3364918
9158,30.024935,-89.979903,f3364918
9174,30.024935,-89.979903,f3364918
9222,30.024935,-89.979903,f3364918
9238,30.024935,-89.979903,f3364918
9286,30.050627,-89.9543301,h0056718
9287,29.9212516,-90.0226707,i2304318
9290,29.9212516,-90.0226707,i2304318
9293,29.9212516,-90.0226707,i2304318
9296,29.9547116,-90.069155,i2291718
9298,29.9547116,-90.069155,i2291718
9397,29.9917225,-90.1018135,i3443118
9401,29.9917225,-90.1018135,i3443118
9405,30.0317603,-89.9723646,i1740618
9408,30.0317603,-89.9723646,i1740618
9411,30.0317603,-89.9723646,i1740618
9414,29.9352198,-90.0258481,i3235618
9417,29.9352198,-90.0258481,i3235618
9420,29.9352198,-90.0258481,i3235618
9494,29.9610518,-90.1184325,j2695218
9495,29.9562778,-90.0677477,j2853318
9501,29.9562778,-90.0677477,j2853318
9507,29.9562778,-90.0677477,j2853318
9513,29.9562778,-90.0677477,j2853318
9519,29.9562778,-90.0677477,j2853318
9525,29.9562778,-90.0677477,j2853318
9531,29.9515905,-90.1252459,l0355718
9542,29.969793,-90.1057635,l3791318
9558,29.969793,-90.1057635,l3791318
9574,29.969793,-90.1057635,l3791318
9590,29.969793,-90.1057635,l3791318
9616,29.9434175,-90.0886346,l2754218
9618,29.9803594,-90.0814826,j2752518
9732,30.0449725,-89.9841227,l2296818
9742,30.0449725,-89.9841227,l2296818
9752,29.9355611,-90.0882149,j1100218
9753,29.9582058,-90.0705681,j0759818
9755,29.9582058,-90.0705681,j0759818
9757,29.9984885,-90.0500148,j2250118
9758,29.9332312,-90.0841896,h2371618
9759,29.9695151,-90.0838153,l2700618
9760,29.9538711,-90.0698991,j1885718
9768,29.9538711,-90.0698991,j1885718
9776,29.9538711,-90.0698991,j1885718
9784,29.9538711,-90.0698991,j1885718
9792,29.9538711,-90.0698991,j1885718
9800,29.9538711,-90.0698991,j1885718
9808,29.9538711,-90.0698991,j1885718
9816,29.9538711,-90.0698991,j1885718
9824,29.9571463,-90.0727351,j2758718
9825,29.940094,-90.103321,i3699118
9828,29.940094,-90.103321,i3699118
9835,29.9574487,-90.0654345,e0508418
9836,29.9547116,-90.069155,j3479318
9837,29.9562778,-90.0677477,g3338718
9849,29.9562778,-90.0677477,g3338718
9873,29.9562778,-90.0677477,g3338718
9885,29.9562778,-90.0677477,g3338718
9909,29.9562778,-90.0677477,g3338718
9957,29.9562778,-90.0677477,g3338718
9981,29.9547116,-90.069155,j2914718
9982,29.947872,-90.0711111,i2526018
10002,29.947872,-90.0711111,i2526018
10022,29.947872,-90.0711111,i2526018
10082,30.0308021,-89.9853646,j0321218
10084,30.0308021,-89.9853646,j0321218
10086,29.9527342,-90.0525218,j2854018
10092,29.9527342,-90.0525218,j2854018
10122,29.9681877,-90.0224016,j0845818
10145,29.9479413,-90.0836784,k2973818
10154,29.9479413,-90.0836784,k2973818
10163,29.9479413,-90.0836784,k2973818
