,charge_description
LITTERING FROM MOTOR VEHICLE,1
ATTEMPT - FIRST DEGREE ROBBERY,1
FALSE SWEARING / VIOLATING,1
RUNAWAY JUVENILE,1
CONSPIRACY - SIMPLE ROBBERY,1
PROOF OF INSURANCE,1
OBEDIENCE TO TRAFFIC CONTROLS,1
RELATIVE TO MISSING/RUNAWAY JUVENILE,1
FALSE IMPRISONEMENT WHILE ARMED,1
THEFT OF DOGS,1
PRINCIPAL TO ATTEMPTED ARMED ROBBERY,1
FIRST DEGREE VEHICULAR INJURING,1
ACCESSORY - 2ND DEGREE MURDER,1
ATTEMPT - DISARMING A PEACE OFFICER,1
TRAFFIC ATTACHMANT#,1
PRINCIPAL TO POSSESSION OF SCHEDULE I CDS,1
PRINCIPAL TO CRIMINAL DAMAGE,1
PRINCIPAL TO AGG. ARSON,1
OBSCENE LIVE CONDUCT,1
DISREGARDING TRAFFIC CONTROL SIGN,1
ASSAULT ON PEACE OFFICER (FIREARM),1
CREDIT CARD FRAUD,1
ATTEMPT - SIMPLE BURGLARY-DWELLING,1
OPERATING VEHICLE WHILE INTOXICATED,1
CARELESS OPERATION OF A VEHICLE,1
POSSESSION OF A FIREARM OR CARRYING OF A CONCEALED WEAPON BY A PERSON CONVICTED OF DOMESTIC ABUSE BA,1
POSSESSION OF STOLEN PROPERTY,1
PROHIBITED ACTS-- SCHEDULE III DRUGS,1
CDC WARRANT#,1
ONE WAY ROADWAYS & TRAFFIC ISLANDS,1
FIREARM FREE ZONES,1
CERTAIN POSSESSION OF FIREARMS,1
ACTS OF DOMESTIC VIOLENCE(STRANGULATION) - SIMPLE,1
OBSTRUCTING PUBLIC PASSAGES,1
INTERFERING WITH A LAW ENFORCEMENT INVESTIGATION,1
ATTEMPT - CREDIT CARD FRAUD,1
AGGRESSIVE SOLICITATION,1
POSSESSING IMITATION NARCOTICS,1
ATTEMPT SECOND DEGREE RAPE,1
SECOND DEGREE KIDNAPING,1
DISTURBING THE PEACE - VIOLENT/TUMULTUOUS MANNER,1
SIMPLE ARSON,1
FORGERY,1
PROSTITUTION,1
ACCESSORY - THEFT,1
DOMESTIC ABUSE BATTERY(PREGNANT VICTIM) - SIMPLE ,1
SPECIAL RESTRICTIONS ON LAMPS,1
THEFT OF THE ASSETS OF A PERSON WHO IS AGED OR PERSON WITH A DISABILITY,1
ILLEGAL CARRYING OF WEAPONS,1
ACCESSORY - AGG. BATTERY,1
DOMESTIC ABUSE BATTERY(CHILD ENDANGERMENT) - SIMPLE,1
ACCESSORY TO POSSESSION OF SCHEDULE II CDS,1
ATTEMPT - POSSESSION STOLEN THINGS,1
ACCESSORY TO POSSESSION OF SCHEDULE I CDS,1
CYBER STALKING,1
PUBLIC DRUNK; DRUG INCAPACITATION,1
AGG. ARSON,1
DISTURBING THE PEACE - FISTIC ENCOUNTER,1
POSSESSION UNIDENTIFIABLE FIREARM,1
ACCESSORY - AGG. ASSAULT,1
