item_number,Signal Code,rtcc_footage_requested
e-06293-18,34S,yes
e-06851-18,34S,yes
d-20701-18,65,yes
e-07169-18,20,yes
e-03042-18,64G,yes
e-07279-18,20,yes
e-07537-18,65,yes
e-07729-18,20-I,yes
e-05084-18,62C,yes
e-08572-18,20,yes
e-09274-18,20,yes
e-09366-18,94,yes
d-28125-18,100,yes
e-07213-18,67,yes
e-09941-18,20,yes
e-06918-18,27-64G,yes
e-09824-18,67A,yes
e-05673-18,65P,yes
e-06827-18,100,yes
e-11548-18,20,yes
e-11740-18,65J,yes
e-11823-18,103F,yes
p-00125-18,67P,yes
e-21616-18,21-P,yes
e-12798-18,21,yes
e-13151-18,103-F,yes
e-13158-18,20,yes
e-13734-18,24,yes
e-13883-18,20X,yes
e-14666-18,64G,yes
e-14729-18,94,yes
e-14809-18,64G,yes
e-15186-18,34S,yes
e-15755-18,107,yes
e-04034-18,62B,yes
e-15186-18,34S,yes
e-17525-18,20-I,yes
e-16051-18,24,yes
e-18327-18,21,yes
e-19578-18,65,yes
e-19642-18,107,yes
e-19901-18,94,yes
e-20142-18,20,yes
e-19578-18,65,yes
e-19578-18,35,yes
e-16340-18,30s,yes
e-20760-18,30,yes
e-21678-18,103,yes
e-15859-18,64J,yes
e-12616-18,65,yes
e-23578-18,34S,yes
e-23686-18,21,yes
e-23708-18,64J,yes
e-20422-18,30S,yes
e-24703-18,38,yes
e-25267-18,20,yes
e-19600-18,67p,yes
e-16018-18,62C,yes
e-12748-18,30,yes
e-23708-18,64J,yes
e-26057-18,67AR,yes
e-25218-18,30S,yes
e-08143-18,67-A,yes
e-24484-18,65,yes
e-26825-18,65,yes
e-27204-18,20,yes
e-23107-18,21F,yes
e-28272-18,56-D,yes
e-28368-18,20,yes
e-28155-18,62B,yes
e-28965-18,103F,yes
e-29938-18,30,yes
e-29938-18,30-S,yes
e-29938-18,30s,yes
e-30401-18,34S,yes
e-31078-18,103 F,yes
e-31341-18,107,yes
e-31046-18,65,yes
e-30401-18,30,yes
e-29938-18,30S,yes
e-33091-18,21F,yes
e-30401-18,34-S,yes
e-27747-18,34-S,yes
e-34260-18,966,yes
e-34404-18,30S,yes
e-35039-18,20,yes
e-35065-18,20,yes
e-35040-18,65,yes
e-35183-18,103,yes
e-34328-18,62C,yes
e-35465-18,103,yes
e-33545-18,24,yes
e-35580-18,62B,yes
e-35846-18,20I,yes
e-35863-18,35,yes
e-36094-18,100,yes
e-36185-18,100I,yes
e-36401-18,21,yes
e-32858-18,34S,yes
e-36423-18,100,yes
e-34404-18,30-S,yes
e-35940-18,67 A,yes
e-36884-18,34C,yes
e-03975-18,67,yes
e-37342-18,34C,yes
e-37023-18,37,yes
e-37985-18,20,yes
e-38038-18,20,yes
e-38091-18,94,yes
e-38184-18,20,yes
e-35863-18,65,yes
e-38546-18,67-AR,yes
e-38140-18,20,yes
e-37496-18,67A,yes
2018-0279-r,,yes
e-39864-18,30-S,yes
f-00077-18,65,yes
f-00176-18,34S,yes
f-00461-18,20I,yes
f-00675-18,20,yes
f-00797-18,64G,yes
e-39864-18/homicide,30S,yes
e-24685-18,67A,yes
f-01994-18,34S,yes
f-02004-18,20,yes
f-01237-18,64G,yes
f-02170-18,64J,yes
e-10712-18,67AR,yes
f-02749-18,37,yes
f-02765-18,21,yes
f-02885-18,20I,yes
f-03004-18,20,yes
f-02986-18,65,yes
e-34404-18,30S,yes
f-03651-18,42,yes
f-01237-18,64G,yes
f-03608-18,37,yes
f-03810-18,34S,yes
f-03810-18,30s,yes
f-04163-18,103M,yes
f-04237-18,20,yes
f-02373-18,20,yes
f-04527-18,103,yes
f-04506-18,34s,yes
f-04677-18,20,yes
f-03608-18,37,yes
e-35925-18,65,yes
f-05393-18,18,yes
f-05550-18,966,yes
e-35940-18,67A,yes
e-38546-18,67A,yes
f-06776-18,20,yes
f-06708-18,20,yes
f-04677-18,100,yes
f-06794-18,55,yes
f-06918-18,20,yes
e-23180-18,21F,yes
f-07064-18,65,yes
e-34404-18,30S,yes
f-06873-18,64G,yes
f-08107-18,64K,yes
f-08143-18,20,yes
f-08306-18,20,yes
e-34404-18,30S,yes
e-35948-18,64J,yes
f-09938-18,62C,yes
f-10322-18,34C,yes
f-11077-18,65,yes
f-11316-18,34-S,yes
f-11696-18,20I,yes
f-12011-18,100,yes
f-11620-18,67A,yes
f-11984-18,20,yes
f-12480-18,34-C,yes
f-13028-18,107,yes
f-12779-18,20I,yes
f-13258-18,20,yes
f-14322-18,20I,yes
f-14363-18,21,yes
f-11077-18,65,yes
f-15280-18,21,yes
f-15299-18,103,yes
f-15221-18,20,yes
f-15263-18,20,yes
f-14439-18,64G,yes
f-08107-18,64k,yes
f-15541-18,103,yes
f-15814-18,64-G,yes
f-15938-18,20,yes
f-07357-18,34,yes
f-14929-18,56,yes
f-00981-18,67A,yes
f-15622-18,21,yes
f-13481-18,100,yes
e-33412-18,64G,yes
e-25950-18,65,yes
f-17177-18,20,yes
f-17595-18,65,yes
e-34842-18,100,yes
e-36423-18,100,yes
f-17930-18,65,yes
f-07539-18,64G,yes
f-15918-18,34s,yes
f-19032-18,20,yes
f-18933-18,65,yes
f-19684-18,103,yes
f-19732-18,37,yes
f-19910-18,103,yes
f-19901-18,20F,yes
f-20216-18,24,yes
f-19210-18,64G,yes
f-20705-18,20,yes
f-20873-18,34c,yes
f-19210-18,64G,yes
f-18432-18,21-M,yes
f-03237-18,966,yes
f-21604-18,21,yes
f-21505-18,966,yes
f-21881-18,20-I,yes
f-22244-18,64-G,yes
f-20971-18,64G,yes
f-19210-18,64G,yes
f-22605-18,100,yes
f-22589-18,107,yes
f-22244-18,64G,yes
f-23877-18,34S,yes
f-23877-18,34s,yes
f-24032-18,21,yes
f-24158-18,20,yes
f-23600-18,64G,yes
f-24470-18,966,yes
f-24821-18,103F,yes
f-24018-18,67,yes
f-24943-18,21,yes
f-19901-18,20F,yes
f-12360-18,62C,yes
f-25192-18,64G,yes
f-25020-18,67,yes
f-17554-18,100I,yes
f-25752-18,67 S,yes
f-26270-18,67P,yes
f-19976-18,21m,yes
f-13396-18,27-30,yes
e-29938-18,30,yes
f-27224-18,966,yes
f-27311-18,100,yes
f-27399-18,34S,yes
f-28425-18,20,yes
f-28511-18,35,yes
f-28774-18,34C,yes
f-28954-18,65,yes
f-29154-18,34s,yes
f-29725-18,35,yes
e-39941-18,21,yes
f-19210-18,64G,yes
f-29431-18,64G,yes
f-19210-18,64G,yes
f-29431-18,64G,yes
f-28815-18,64,yes
f-28815-18,64G,yes
f-31090-18,65P,yes
f-28954-18,65,yes
f-32089-18,966,yes
f-32419-18,35,yes
f-30807-18,30S,yes
f-25192-18,64G,yes
f-33175-18,20,yes
f-33270-18,20,yes
f-33370-18,34,yes
f-29023-18,35,yes
f-33649-18,34s,yes
f-33649-18,34S,yes
f-35299-18,100,yes
f-36064-18,966,yes
f-36379-18,43B,yes
f-36633-18,67-P,yes
f-36816-18,20,yes
f-37119-18,103F,yes
f-36426-18,37,yes
g-00193-18,35,yes
g-00296-18,20,yes
g-00403-18,35,yes
g-00562-18,20X,yes
g-00600-18,20,yes
g-01095-18,20,yes
f-33649-18,34s,yes
g-02173-18,20I,yes
g-02129-18,20I,yes
f-20293-18,100,yes
f-33649-18,34S,yes
g-02278-18,64G,yes
f-30523-18,966,yes
f-31929-18,966,yes
g-00806-18,966,yes
g-01880-18,966,yes
g-02727-18,95,yes
g-00017-18,55,yes
g-03622-18,21,yes
g-04191-18,20,yes
g-04227-18,20,yes
g-04475-18,67P,yes
g-04861-18,65,yes
g-04861-18,65,yes
g-04861-18,65P,yes
g-05697-18,64G,yes
g-05992-18,20,yes
g-00792-18,65P,yes
g-06020-18,21,yes
g-05987-18,64-J,yes
g-06250-18,20,yes
g-06353-18,20,yes
g-06435-18,94,yes
g-06435-18,94,yes
g-06503-18,20I,yes
g-06876-18,20,yes
g-07186-18,21,yes
g-07550-18,20,yes
g-07589-18,20f,yes
g-07706-18,103F,yes
g-07632-18,64,yes
g-08081-18,20I,yes
g-08263-18,34S,yes
g-09020-18,35,yes
g-08218-18,64g,yes
g-08810-18,35,yes
g-09952-18,100I,yes
g-10008-18,21,yes
g-09786-18,37,yes
g-10352-18,24,yes
g-10647-18,20,yes
g-10395-18,100-I,yes
g-00829-18,95G,yes
g-00792-18,65,yes
g-11454-18,20,yes
g-11444-18,966,yes
g-11549-18,95-G,yes
g-11413-18,45,yes
g-10395-18,100-I,yes
g-11805-18,37,yes
g-11863-18,20,yes
g-09786-18,37,yes
g-12410-18,65,yes
g-13213-18,20,yes
g-11850-18,20,yes
g-13562-18,100,yes
g-06053-18,62C,yes
g-06576-18,62C,yes
g-14084-18,62C,yes
g-14366-18,62C,yes
g-14446-18,67,yes
g-15573-18,67A,yes
g-15633-18,103-F,yes
g-15637-18,35,yes
g-10395-18,100-I,yes
g-16247-18,103F,yes
g-16641-18,64G,yes
g-17493-18,20,yes
g-17422-18,34-S,yes
g-16839-18,34S,yes
g-18047-18,35/67,yes
g-18063-18,20-I,yes
g-18449-18,20,yes
g-18735-18,18,yes
g-18937-18,21,yes
g-19109-18,56,yes
g-18961-18,21,yes
g-18692-18,34S,yes
f-27091-18,966,yes
g-13005-18,37,yes
g-19588-18,100,yes
g-19818-18,67C,yes
g-20132-18,37,yes
g-20272-18,103-F,yes
g-20541-18,20I,yes
g-20804-18,37,yes
g-19588-18,100,yes
g-21121-18,20,yes
g-21492-18,103,yes
g-21466-18,35-D,yes
g-21570-18,65P,yes
g-21826-18,100,yes
g-21976-18,20,yes
g-22535-18,966,yes
g-22641-18,34S,yes
2018-0319,21,yes
g-24398-18,35,yes
g-24433-18,21,yes
g-17658-18,966,yes
g-23362-18,966,yes
g-25968-18,20,yes
g-26247-18,20,yes
g-26594-18,20,yes
g-26308-18,67A,yes
g-26799-18,34S,yes
g-26766-18,64G,yes
g-27012-18,65,yes
g-25845-18,30-S,yes
g-27012-18,65,yes
g-25601-18,24,yes
f-34650-18,34-S,yes
g-29205-18,62C,yes
g-29290-18,64G,yes
g-29454-18,20I,yes
g-19705-18,65P,yes
g-29915-18,64G,yes
g-26799-18,34S,yes
g-30028-18,20,yes
g-30388-18,20I,yes
g-30428-18,100,yes
g-30457-18,103,yes
g-30592-18,107,yes
g-30655-18,67P,yes
g-28909-18,67,yes
g-30972-18,34S,yes
g-31063-18,20,yes
g-30585-18,64,yes
g-31435-18,20I,yes
g-31495-18,55,yes
g-32016-18,103F,yes
g-31676-18,100,yes
g-32056-18,64G,yes
g-26977-18,34S,yes
g-32463-18,966,yes
g-31805-18,34S,yes
g-32746-18,20,yes
g-33037-18,966,yes
g-05315-18,24,yes
g-33239-18,34S,yes
g-33387-18,34S,yes
g-32001-18,64 G,yes
g-32436-18,34 S,yes
g-32001-18,64G,yes
g-30428-18,100,yes
g-32436-18,34s,yes
g-32001-18,64G,yes
g-32436-18,34s,yes
g-33867-18,20,yes
g-33145-18,55,yes
g-33387-18,34-S,yes
g-34488-18,103-F,yes
g-34593-18,37,yes
g-34603-18,62C,yes
g-34712-18,20i,yes
g-35063-18,966,yes
g-35169-18,62R,yes
g-35066-18,67A,yes
g-33387-18,34-S,yes
g-35398-18,966,yes
g-35394-18,20I,yes
g-35531-18,20,yes
g-36067-18,20,yes
g-35428-18,30S,yes
g-35428-18,30S,yes
g-36670-18,103-F,yes
g-36733-18,21,yes
g-36646-18,100,yes
g-36685-18,30,yes
g-35801-18,21,yes
g-36655-18,30,yes
g-31805-18,34s,yes
g-35522-18,34S,yes
f-22586-18,62,yes
g-37709-18,35,yes
g-32001-18,64G,yes
g-37313-18,62R,yes
g-27216-18,62B,yes
g-38615-18,34C,yes
g-39043-18,103F,yes
h-00363-18,20,yes
g-35745-18,45,yes
g-07702-18,100,yes
h-00079-18,21,yes
h-00649-18,100,yes
g-33192-18,21,yes
g-26101-18,67,yes
h-01111-18,20I,yes
h-01218-18,34-S,yes
h-01482-18,30S,yes
h-01640-18,20,yes
h-01924-18,20I,yes
h-00921-18,20I,yes
g-35428-18,30S,yes
g-35428-18,30S,yes
h-02155-18,20I,yes
h-02492-18,65,yes
h-03231-18,20,yes
h-03367-18,100,yes
h-00567-18,20,yes
h-04127-18,100,yes
h-04179-18,34S,yes
h-04419-18,20I,yes
h-04513-18,20,yes
h-04614-18,62C,yes
h-04656-18,20I,yes
h-04765-18,37,yes
h-04658-18,64G,yes
h-04905-18,95G,yes
h-04605-18,67A,yes
h-05347-18,64G,yes
h-05427-18,67P,yes
h-05834-18,20I,yes
h-06242-18,55,yes
h-05163-18,62C,yes
h-07044-198,20,yes
h-06372-18,21M,yes
g-35428-18,30-S,yes
h-07233-18,20,yes
h-05513-18,65,yes
h-07660-18,107,yes
h-07861-18,20,yes
h-07902-18,20I,yes
g-36655-18,30S,yes
h-07906-18,100,yes
h-09178-18,21,yes
h-09249-18,37,yes
h-08967-18,64J,yes
g-35064-18,67A,yes
h-05513-18,65,yes
h-09941-18,966,yes
h-10086-18,34-S,yes
h-05513-18,65,yes
h-09308-18,21,yes
h-09530-18,62C,yes
h-11019-18,966,yes
h-11067-18,21,yes
h-11219-19,35,yes
h-11647-18,35,yes
h-11851-18,103M,yes
h-10895-18,62R,yes
h-12911-18,20,yes
h-13197-18,63,yes
h-13616-18,966,yes
g-23362-18,21,yes
g-23362-18,21,yes
h-14915-18,966,yes
g-23362-18,21,yes
h-15047-18,966,yes
h-15279-18,64,yes
h-15549-18,21,yes
h-15838-18,35,yes
h-13197-18,63,yes
h-16001-18,966,yes
h-16322-18,20I,yes
h-16421-18,100,yes
h-16758-18,20-I,yes
h-16774-18,65,yes
h-16908-18,21J,yes
h-17286-18,103D,yes
h-17613-18,67,yes
h-17638-18,966,yes
g-23362-18,21,yes
h-17782-18,966,yes
h-13616-18,966,yes
h-17839-18,20I,yes
h-17613-18,67,yes
h-15852-18,67A,yes
h-18243-18,103,yes
h-18209-18,64,yes
h-17428-18,30S,yes
g-36655-18,30S,yes
h-18209-18,64J,yes
h-19014-18,20,yes
h-13807-18,966,yes
h-19375-18,20,yes
h-19672-18,56,yes
h-19720-18,103,yes
h-12109-18,62B,yes
h-20219-18,20,yes
g-35398-18,966,yes
h-19451-18,34,yes
h-17619-18,62,yes
h-18517-18,65,yes
h-21229-18,37,yes
h-21255-18,103F,yes
g-30349-18,64,yes
g-33020-18,64,yes
g-39015-18,64,yes
h-16168-18,67A,yes
h-17045-18,67,yes
h-21682-18,20I,yes
h-21895-18,65,yes
h-22355-18,20,yes
g-27797-18,67,yes
h-22937-18,100,yes
h-22973-18,20,yes
h-23178-18,966,yes
h-23777-18,62C,yes
h-23716-18,65,yes
h-24512-18,27-64G,yes
h-24369-18,21J,yes
h-04905-18,95-G,yes
h-25079-18,21,yes
h-25349-18,20,yes
g-31805-18,34S,yes
h-18163-18,67AR,yes
h-26475-18,20,yes
h-26590-18,966,yes
h-26298-18,67-A,yes
h-27408-18,64-G,yes
h-27604-18,67P,yes
h-27808-18,62R,yes
h-28101-18,34,yes
h-28414-18,103F,yes
h-26916-18,103D,yes
h-17638-18,966,yes
h-28595-18,103-F,yes
h-28668-18,966,yes
h-28399-18,966,yes
g-23362-18,21,yes
h-28452-18,966,yes
g-31808-18,34S,yes
h-19672-18,56,yes
h-29524-18,20,yes
h-13807-18,966,yes
h-29214-18,62B,yes
g-23362-18,966,yes
h-29745-18,966,yes
h-29789-18,65,yes
h-26247-18,62B,yes
h-30188-18,44,yes
h-30392-18,103,yes
h-30502-18,100,yes
h-30782-18,20,yes
h-29789-18,65,yes
h-31074-18,55,yes
h-31284-18,34c,yes
h-31435-18,20,yes
h-31195-18,35,yes
h-30661-18,64G,yes
h-25230-18,966,yes
h-29794-18,966,yes
g-23362-18,21,yes
h-32354-18,966,yes
h-32339-18,65,yes
h-32605-18,20X,yes
h-30360-18,65,yes
h-32930-18,20,yes
h-31467-18,62R,yes
h-29214-18,62B,yes
h-33364-18,65,yes
h-33531-18,20,yes
h-30434-18,65,yes
h-33905-18,20,yes
h-33609-18,67A,yes
h-34071-18,34-C,yes
h-33806-18,67A,yes
h-34602-18,21,yes
h-32664-18,64J,yes
h-34879-18,44,yes
h-34879-18,44,yes
h-34071-18,34C,yes
h-32860-18,65,yes
h-35045-18,34S,yes
h-33915-18,94,yes
h-29823-18,67A,yes
h-35045-18,34S,yes
h-26821-18,43,yes
h-36647-18,30S,yes
h-37100-18,20I,yes
h-37113-18,35,yes
h-29214-18,62B,yes
h-29214-18,62B,yes
h-38056-18,94,yes
h-37601-18,67A,yes
h-38100-18,37,yes
h-31664-18,62C,yes
h-22359-18,62C,yes
h-07094-18,67A,yes
h-32605-18,20x,yes
h-38925-18,20,yes
h-38972-18,103-F,yes
"h-39079-18/ auto accident, injury",20I,yes
h-39646-18,20I,yes
h-37219-18,62R,yes
h-39896-18,20,yes
h-40032-18,20,yes
h-40060-18,20I,yes
h-38270-18,65,yes
i-00244-18,21,yes
i-00335-18,20,yes
i-00050-18,24,yes
i-00846-18,20,yes
i-00849-18,20,yes
i-00910-18,20,yes
i-00933-18,64K,yes
i-01423-18,966,yes
i-01236-18,34S,yes
i-01858-18,103F,yes
i-01922-18,20,yes
i-01936-18,21,yes
i-02049-18,103F,yes
i-02221-18,34,yes
i-02704-18,100,yes
i-02748-18,20,yes
i-02692-18,56,yes
i-03231-18,64-K,yes
h-34546-18,100,yes
h-34854-18,30S,yes
i-04132-18,30S,yes
i-01376-18,34,yes
i-04723-18,62C,yes
i-05064-18,18A,yes
i-05112-18,20,yes
i-04919-18,62B,yes
i-05392-18,20I,yes
i-04879-18,35,yes
i-05469-18,966,yes
i-05631-18,20,yes
f-15622-18,21,yes
i-06009-18,64,yes
i-06047-18,65,yes
i-06335-18,20,yes
i-06373-18,20I,yes
i-06225-18,67P,yes
h-29214-18,62B,yes
i-06023-18,62B,yes
h-21901-18,20,yes
i-07125-18,21,yes
i-07280-18,21,yes
i-07115-18,34S,yes
i-07807-18,65P,yes
h-35045-18,34S,yes
i-08336-18,966,yes
i-06225-18,82,yes
i-08915-18,64G,yes
i-08971-18,20,yes
i-09169-18,37D,yes
i-09279-18,20,yes
i-09326-18,94,yes
g-23362-18,21,yes
g-23362-18,21,yes
i-08915-18,64G,yes
i-09699-18,64-G,yes
i-08185-18,64G,yes
i-09807-18,65,yes
i-09818-18,20,yes
i-09850-18,67P,yes
i-10003-18,67C,yes
i-10240.18,20I,yes
i-10124-18,37,yes
i-10647-18,966,yes
i-07115-18,34s,yes
i-10526-18,62C,yes
i-10431-18,64-K,yes
i-10938-18,20,yes
i-10888-18,30S,yes
i-11033-18,35,yes
i-10954-18,55,yes
i-11348-18,18A,yes
i-11603-18,21F,yes
h-14262-18,966,yes
i-09432-18,64,yes
i-05721-18,65,yes
i-10763-18,34S,yes
i-11727-18,62-C,yes
i-12132-18,103,yes
i-12665-18,20,yes
i-10888-18,30S,yes
h-21250-18,62C,yes
i-13210-18,20,yes
g-23362-18,21,yes
i-13311-18,966,yes
i-13498-18,34S,yes
i-13657-18,103F,yes
i-13939-18,20I,yes
i-13985-18,27-65,yes
i-14152-18,20I,yes
i-14353-18,20,yes
i-14497-18,966,yes
i-14636-18,20I,yes
i-14497-18,966,yes
i-14531-18,966,yes
i-14974-18,67A,yes
i-15596-18,103,yes
i-15494-18,20,yes
i-16557-18,18,yes
i-16641-18,21,yes
i-16675-18,65,yes
i-16753-18,20F,yes
i-16939-18,20I,yes
i-16637-18,65,yes
i-17133-18,100I,yes
i-06047-18,65,yes
i-17406-18,103D,yes
i-17682-18,65,yes
i-17839-18,35,yes
i-18441-18,20,yes
i-18712-18,20,yes
i-18418-18,62C,yes
i-19431-18,107,yes
i-19449-18,20,yes
i-19554-18,20,yes
i-20244-18,966,yes
i-20287-18,64G,yes
i-19200-18,103,yes
i-20169-18,34S,yes
i-21091-18,107,yes
i-21098-18,966,yes
i-21123-18,966,yes
i-21159-18,64,yes
i-21264-18,20,yes
i-21348-18,34,yes
i-16675-18,65,yes
i-21478-18,107,yes
i-21544-18,21,yes
i-21613-18,37,yes
i-21744-18,103F,yes
i-21981-18,20,yes
i-22053-18,20I,yes
i-22163-18,20I,yes
i-22383-18,20,yes
i-20733-18,67A,yes
i-22409-18,20,yes
i-22216-18,64G,yes
i-22412-18,966,yes
i-22475-18,103,yes
i-22482-18,966,yes
g-23362-18,966,yes
i-22563-18,35,yes
i-22626-18,966,yes
i-22674-18,20,yes
i-22844-18,34S,yes
i-22917-18,21,yes
i-21292-18,34s,yes
i-23043-18,60,yes
i-23182-18,20I,yes
i-23502-18,103,yes
i-23529-18,20,yes
i-23542-18,20,yes
i-23566-18,20,yes
i-16675-18,65,yes
i-23688-18,20X,yes
h-27312-18,64G,yes
i-20653-18,37,yes
i-21292-18,34S,yes
i-24126-18,966,yes
i-24192-18,21,yes
i-23119-18,34S,yes
i-22844-18,34S,yes
i-24284-18,95G,yes
i-24601-18,62R,yes
i-04196-18,42,yes
i-25012-18,20,yes
i-25260-18,67A,yes
i-25195-18,34s,yes
i-25009-18,65,yes
i-25411-18,21,yes
i-25009-18,65,yes
i-25260-18,67A,yes
i-25195-18,34S,yes
i-25899-18,64G,yes
i-26095-18,20,yes
i-26190-18,21,yes
i-23506-18,67S,yes
i-26961-18,20I,yes
i-27238-18,21,yes
i-27233-18,103,yes
i-27797-18,27-67,yes
i-27870-18,20,yes
i-04370-18,24,yes
i-28434-18,20I,yes
i-29092-18,966,yes
g-22362-18,21,yes
i-29167-18,100,yes
i-29211-18,34s,yes
i-29513-18,21M,yes
i-29932-18,20,yes
i-30150-18,103F,yes
i-28961-18,34S,yes
i-30123-18,37,yes
i-21613-18,37,yes
i-30416-18,21,yes
i-21613-18,37,yes
i-30741-18,34S,yes
i-30285-18,966,yes
i-30822-18,35,yes
i-30929-18,34C,yes
i-20169-18,34s,yes
i-31461-18,20I,yes
i-31546-18,21,yes
i-31741-18,966,yes
i-31931-18,100,yes
i-31973-18,62-C,yes
i-06225-18,67,yes
i-32356-18,35D,yes
i-32488-18,20,yes
i-30715-18,64J,yes
i-33488-18,30-S,yes
i-33782-18,20I,yes
i-24849-18,21M,yes
i-33143-18,64G,yes
i-33828-18,21,yes
i-28961-18,34s,yes
i-18908-18,94,yes
i-34431-18,30S,yes
i-24849-18,21-M,yes
i-34917-18,67-P,yes
i-34996-18,67,yes
i-35126-18,30s,yes
i-35378-18,20,yes
i-06924-18,65,yes
i-35494-18,64J,yes
i-25009-18,65,yes
i-34886-18,65,yes
i-36101-18,35,yes
i-36134-18,20-I,yes
i-35622-18,20,yes
i-36042-18,56,yes
i-36155-18,65,yes
i-36368-18,20,yes
i-36370-18,62C,yes
i-35442-18,20I,yes
i-36524-18,20,yes
i-36658-18,20X,yes
i-36991-18,103F,yes
i-37606-18,20,yes
i-37828-18,20,yes
i-37889-18,67A,yes
i-25009-18,65,yes
i-38026-18,95G,yes
i-38079-18,64G,yes
i-38323-18,94,yes
j-00176-18,35,yes
j-00358-18,100I,yes
j-00557-18,34S,yes
j-00646-18,20I,yes
j-00801-18,65,yes
j-01637-18,20,yes
i-35911-18,62C,yes
j-01947-18,60,yes
j-01947-18,60,yes
j-02163-18,107,yes
j-02105-18,21,yes
j-02240-18,966,yes
j-01086-18,18,yes
i-35911-18,62C,yes
j-02575-18,103,yes
j-02509-18,65,yes
j-02575-18,103,yes
j-02765-18,65,yes
j-02893-18,21,yes
j-02983-18,21,yes
j-03212-18,103D,yes
j-03326-18,103,yes
j-03247-18,20I,yes
j-03407-18,100,yes
i-29675-18,62B,yes
c-06006-14,30,yes
j-03673-18,34,yes
j-03580-18,966,yes
i-28942-18,65,yes
j-03921-18,67A,yes
j-03439-18,21F,yes
j-03442-18,21F,yes
j-03493-18,21F,yes
j-04298-18,34s,yes
j-03862-18,62C,yes
j-04649-18,20I,yes
i-31408-18,67,yes
j-01947-18,60,yes
j-04881-18,20,yes
g-23362-18,21,yes
j-04948-18,966,yes
j-05102-18,20I,yes
j-05576-18,65P,yes
j-05913-18,64G,yes
j-06286-18,20,yes
j-06430-18,20,yes
j-06772-18/,34,yes
j-07232-18,20-I,yes
j-07349-18,34S,yes
j-07083-18,103F,yes
j-07598-18,966,yes
j-08080-18,103,yes
j-05794-18,20I,yes
j-08357-18,20,yes
