item_number,Signal Code,Upon Researching the above item :
A-10042-22,20I,Relevant video was found
A-10096-22,100I,No relevant video was found
A-07241-22,67A,Relevant video was found
L-21303-21,34S,Relevant video was found
A-01027-22,67,Relevant video was found
A-08051-22,18,Relevant video was found
A-08052-21,18,Relevant video was found
A-08466-22,20,No relevant video was found
A-08561-22,20,Relevant video was found
A-08734-22,20I,No relevant video was found
A-07189-22,20,Relevant video was found
A-06768-22,64G,Relevant video was found
L-10360-21,21,Relevant video was found
A-07429-22,103,No relevant video was found
A-07479-22,20,No relevant video was found
A-06789-22,64G,Relevant video was found
L-33669-21,95G,Relevant video was found
A-07680-22,20,Relevant video was found
A-10276-22,20I,No relevant video was found
A-08461-21,67A,No relevant video was found
A-10108-22,100,No relevant video was found
L-21303-21,34S,Relevant video was found
A-10548-22,37,Relevant video was found
A-08056-22,103,Relevant video was found
A-07888-22,20,Relevant video was found
A-08098-22,20X,No relevant video was found
A-08814-22,37,Relevant video was found
A-08841-22,34S,Relevant video was found
A-08971-22,103F,Relevant video was found
A-08970-22,20I,No relevant video was found
A-10498-22,20I,Relevant video was found
A-07262-22,20I,Relevant video was found
L-12309-21,30S,Relevant video was found
A-01855-22,100I,Relevant video was found
A-07992-22,64,Relevant video was found
A-08210-22,65,Relevant video was found
A-08445-22,62B,No relevant video was found
A-08469-22,34S,No relevant video was found
A-07056-22,62B,Relevant video was found
A-10089-22,34 S,No relevant video was found
A-10548-22,37,Relevant video was found
A-10854-22,34S,Relevant video was found
A-07722-22,20,No relevant video was found
A-08083-22,65,Relevant video was found
A-07986-22,30S,Relevant video was found
A-11007-22,20-I,Relevant video was found
A-10848-22,20,Relevant video was found
A-11023-22,20,Relevant video was found
A-07258-22,67A,Relevant video was found
A-07986-22,30S,Relevant video was found
A-07986-22,30S,Relevant video was found
A-08854-22,30S,Relevant video was found
A-08927-22,34C,Relevant video was found
A-09114-22,20,Relevant video was found
A-09122-22,18A,Relevant video was found
A-09262-22,100I,Relevant video was found
A-11001-22,20I,Relevant video was found
A-11195-21,34S,Relevant video was found
A-08903-22,42,Relevant video was found
A-08210-22,65,Relevant video was found
A-09067-22,100X,Relevant video was found
A-08954-22,20,Relevant video was found
A-08983-22,20,Relevant video was found
A-08711-22,62 C,No relevant video was found
A-08925-22,21,Relevant video was found
A-09142-22,20,Relevant video was found
A-08975-22,62C,Relevant video was found
A-08854-22,30S,Relevant video was found
A-09688-22,20,No relevant video was found
L-21303-21,34S,No relevant video was found
A-08903-22,67A,Relevant video was found
A-09467-22,107,No relevant video was found
A-09484-22,20,Relevant video was found
A-09659-22,67A,No relevant video was found
A-09811-22,35D,No relevant video was found
A-10794-22,20,Relevant video was found
A-10848-22,20,Relevant video was found
A-11075-22,56,Relevant video was found
A-11163-22,34S,No relevant video was found
A-11313-22,34S,Relevant video was found
A-11308-22,52F,No relevant video was found
A-11411-22,21,No relevant video was found
A-11475-22,20I,Relevant video was found
A-11602-22,20,Relevant video was found
A-11918-22,21,No relevant video was found
A-11888-22,100,No relevant video was found
A-11516-22,20,No relevant video was found
A-11544-22,20I,No relevant video was found
A-10573-22,67A,Relevant video was found
A-11646-22,107,No relevant video was found
A-12193-22,20,Relevant video was found
A-11968-22,34S,Relevant video was found
A-11957-22,37,No relevant video was found
A-12383-22,100I,Relevant video was found
A-12558-22,64G,No relevant video was found
A-11522-22,20,Relevant video was found
A-11994-22,100,Relevant video was found
A-11024-22,62C,Relevant video was found
A-11577-22,21,Relevant video was found
A-10346-22,62C,Relevant video was found
A-11755-21,62C,Relevant video was found
A-11241-22,64J,Relevant video was found
A-11856-22,20,Relevant video was found
A-11968-22,34S,Relevant video was found
A-12193-21,20,Relevant video was found
A-10466-22,67,Relevant video was found
A-10142-22,64J,Relevant video was found
A-12425-22,34S,Relevant video was found
A-12227-22,100,No relevant video was found
A-12425-22,34-S,Relevant video was found
A-12558-22,64-G,Relevant video was found
A-12217-22,20I,Relevant video was found
A-12247-22,20,Relevant video was found
A-12300-22,20,Relevant video was found
A-12312-22,107,No relevant video was found
A-12634-22,42,Relevant video was found
A-12848-22,100,Relevant video was found
L-16495-21,30S,Relevant video was found
A-12634-22,42,No relevant video was found
A-05798-22,67A,Relevant video was found
A-13109-22,20,No relevant video was found
A-10637-22,62,Relevant video was found
A-12356-22,34S,Relevant video was found
A-13365-22,20I,Relevant video was found
A-13439-22,55,No relevant video was found
A-12730-22,100,Relevant video was found
A-12897-22,20,No relevant video was found
A-13005-22,103F,No relevant video was found
A-09262-22,100F,Relevant video was found
A-13081-22,20,No relevant video was found
A-13287-22,20,No relevant video was found
A-12789-22,20,Relevant video was found
A-12666-22,62C,No relevant video was found
A-12890-22,64J,Relevant video was found
A-11000-22,64J,Relevant video was found
A-12356-22,34s,Relevant video was found
A-13516-22,103,No relevant video was found
A-13578-22,20,Relevant video was found
A-11994-22,100,Relevant video was found
A-13333-22,20,Relevant video was found
A-13491-22,64 J,Relevant video was found
A-13113-22,62C,No relevant video was found
A-13796-22,20,Relevant video was found
A-20506-22,20,No relevant video was found
A-02634-22,30S,Relevant video was found
A-20937-22,20,Relevant video was found
A-21226-22,37D,Relevant video was found
A-22056-22,20,Relevant video was found
A-13822-22,20,Relevant video was found
A-14021-22,100,No relevant video was found
A-14092-22,27-45,Relevant video was found
A-14210-22,20,No relevant video was found
A-14275-22,94,Relevant video was found
A-14407-22,20,Relevant video was found
A-17330-22,20I,Relevant video was found
A-17536-21,27/30,Relevant video was found
A-12665-22,62C,Relevant video was found
A-17630-22,37,Relevant video was found
A-17735-22,20,No relevant video was found
A-17630-22,37,Relevant video was found
A-17962-22,20,Relevant video was found
A-16117-22,34S,Relevant video was found
A-06529-22,20I,No relevant video was found
A-16139-22,30S,Relevant video was found
A-21427-22,20,No relevant video was found
A-14218-22,20I,Relevant video was found
A-14107-22,20,Relevant video was found
A-13491-22,27-64,Relevant video was found
A-14309-22,34S,Relevant video was found
A-14387-22,64J,Relevant video was found
A-14751-22,64J,Relevant video was found
A-14799-22,20,Relevant video was found
A-17127-22,20-I,No relevant video was found
A-17048-22,30S,Relevant video was found
A-20783-22,21,Relevant video was found
A-21462-22,34S,Relevant video was found
A-17622-22,20,No relevant video was found
A-17652-22,20,No relevant video was found
A-21411-22,20,No relevant video was found
A-15506-22,18,Relevant video was found
A-14309-22,34S,Relevant video was found
A-19652-22,100,No relevant video was found
A-19491-22,64G,No relevant video was found
A-19682-22,34S,No relevant video was found
A-14097-22,34S,No relevant video was found
E-34938-21,21,Relevant video was found
A-14218-22,20I,Relevant video was found
A-11513-22,67AR,Relevant video was found
A-13319-22,64,Relevant video was found
A-17948-22,35-D,Relevant video was found
A-12012-22,21-M,Relevant video was found
A-14775-22,20I,Relevant video was found
A-16344-22,20I,Relevant video was found
A-16620-22,20,No relevant video was found
A-18403-22,20,Relevant video was found
A-17652-22,67AR,Relevant video was found
A-18595-22,34C,No relevant video was found
A-15865-22,20-I,No relevant video was found
A-16044-22,79,No relevant video was found
A-16049-22,67-P,No relevant video was found
A-16117-22,34-S,Relevant video was found
A-16234-22,66,No relevant video was found
A-16517-22,21,Relevant video was found
A-16592-22,20,No relevant video was found
A-16578-22,64G,Relevant video was found
A-14692-22,64 J,No relevant video was found
A-14598-22,64K,No relevant video was found
A-15000-22,64 J,Relevant video was found
A-15575-22,20,No relevant video was found
A-17652-22,67AR,No relevant video was found
A-17769-22,52F,Relevant video was found
A-17711-22,20,Relevant video was found
A-17849-22,20I,Relevant video was found
A-17945-22,20,Relevant video was found
A-17962-22,20,Relevant video was found
A-17127-22,20I,No relevant video was found
A-18316-22,94,No relevant video was found
A-18647-22,42,No relevant video was found
A-18724-22,20X,No relevant video was found
A-18732-22,20,Relevant video was found
A-20006-22,34S,Relevant video was found
A-20012-22,20C,Relevant video was found
A-20097-22,18,Relevant video was found
A-20109-22,94,Relevant video was found
A-20186-22,94,Relevant video was found
A-12028-22,62C,No relevant video was found
A-20490-22,20,No relevant video was found
A-20821-22,20,No relevant video was found
A-20840-22,94,Relevant video was found
A-16366-22,20I,Relevant video was found
A-16688-22,20,Relevant video was found
A-16707-22,20I,No relevant video was found
A-17732-22,20,No relevant video was found
A-17864-22,64J,Relevant video was found
A-18108-22,55,Relevant video was found
A-15808-22,55,No relevant video was found
A-15540-22,62C,Relevant video was found
A-15978-22,100,Relevant video was found
A-16802-22,20,Relevant video was found
A-16822-22,34S,No relevant video was found
A-16827-22,20,No relevant video was found
A-17191-22,100,Relevant video was found
A-17240-22,20I,Relevant video was found
A-15126-22,20,Relevant video was found
A-15438-22,20,Relevant video was found
A-01027-22,67,No relevant video was found
A-15450-22,64J,Relevant video was found
E-34938-21,21,Relevant video was found
A-15591-22,62C,Relevant video was found
A-15745-22,100I,No relevant video was found
A-15911-22,20I,Relevant video was found
A-15976-22,20I,Relevant video was found
A-18520-22,20,No relevant video was found
A-18543-22,20,Relevant video was found
A-18736-22,20,Relevant video was found
A-22385-22,100,No relevant video was found
A-22445-22,20,No relevant video was found
A-22341-22,20I,Relevant video was found
A-22321-22,20I,Relevant video was found
A-22461-22,20I,Relevant video was found
A-22527-22,20,Relevant video was found
A-18985-22,64 G,Relevant video was found
A-19147-22,64 G,Relevant video was found
A-19057-22,94,Relevant video was found
A-21263-22,20,Relevant video was found
A-16845-22,100I,Relevant video was found
A-17004-22,20I,Relevant video was found
A-17117-22,35,Relevant video was found
A-19246-22,20,No relevant video was found
A-19489-22,20,No relevant video was found
A-19504-22,20,Relevant video was found
A-17504-22,103,Relevant video was found
A-20112-22,64 J,Relevant video was found
A-14309-22,34 S,Relevant video was found
A-21127-22,18,Relevant video was found
A-20109-22,2764J,Relevant video was found
A-21361-22,64K,No relevant video was found
A-21516-22,94,Relevant video was found
A-21462-22,34S,No relevant video was found
A-21754-22,20,Relevant video was found
A-13814-22,62B,Relevant video was found
A-21118-22,64J,Relevant video was found
A-19049-22,100,Relevant video was found
A-22443-22,94,Relevant video was found
A-18928-22,20,Relevant video was found
A-19020-22,20,Relevant video was found
A-19099-22,18,Relevant video was found
A-20783-22,21,Relevant video was found
A-20927-2,103F,No relevant video was found
A-16668-22,64J,Relevant video was found
A-19554-22,20,Relevant video was found
A-19491-22,64G,Relevant video was found
A-19774-22,30S,Relevant video was found
A-11313-22,34S,Relevant video was found
A-20597-22,20I,Relevant video was found
A-21127-22,18,Relevant video was found
A-19808-22,100,Relevant video was found
A-18722-22,107,Relevant video was found
A-12016-22,21M,No relevant video was found
A-20029-22,55,No relevant video was found
A-19509-22,64G,Relevant video was found
A-03258-22,64J,Relevant video was found
A-19774-22,30S,Relevant video was found
A-20429-22,62a,Relevant video was found
A-20361-22,30S,Relevant video was found
A-16706-22,64J,Relevant video was found
A-18477-22,62C,Relevant video was found
A-22374-22,20I,Relevant video was found
A-16117-22,34S,Relevant video was found
A-22719-22,27/29s,Relevant video was found
A-22826-22,20I,No relevant video was found
A-22845-22,20I,No relevant video was found
A-22856-22,29U,Relevant video was found
A-23035-22,100,Relevant video was found
L-10360-21,966,Relevant video was found
A-22831-22,107,Relevant video was found
A-24001-22,67P,Relevant video was found
A-24146-22,64K,No relevant video was found
A-24348-22,35,Relevant video was found
A-22972-22,20,Relevant video was found
A-21783-22,67A,Relevant video was found
A-23709-22,21,Relevant video was found
A-12028-22,62C,Relevant video was found
A-24021-22,62C,Relevant video was found
A-24124-22,20,Relevant video was found
A-13756-22,67 A,Relevant video was found
A-24345-22,20 I,No relevant video was found
A-24766-22,20,Relevant video was found
A-24686-22,20,No relevant video was found
L-27492-21,64G,No relevant video was found
A-23280-22,21,Relevant video was found
A-23761-22,18,Relevant video was found
A-23873-22,20I,Relevant video was found
A-24546-22,37,Relevant video was found
A-24620-22,37,Relevant video was found
A-12016-22,21M,Relevant video was found
A-24863-22,34C,Relevant video was found
A-23273-22,100,Relevant video was found
A-24863-22,34C,Relevant video was found
A-24926-22,62B,No relevant video was found
A-21749-22,62C,Relevant video was found
A-25096-26,100,No relevant video was found
A-24523-22,37,Relevant video was found
A-25326-22,64G,Relevant video was found
A-25630-22,100,Relevant video was found
A-25668-22,37,Relevant video was found
A-25693-22,64,Relevant video was found
A-25326-22,64G,Relevant video was found
A-20122-22,64 G,Relevant video was found
A-17727-22,34 S,Relevant video was found
A-23806-22,21,No relevant video was found
A-25463-22,20I,Relevant video was found
A-19774-22,30 S,Relevant video was found
A-24454-22,67 A,Relevant video was found
A-25672-22,18,Relevant video was found
A-25438-22,34S,Relevant video was found
A-25693-22,64,No relevant video was found
A-23634-22,35D,Relevant video was found
A-23430-22,94,Relevant video was found
A-22971-22,64,Relevant video was found
A-23973-22,103F,No relevant video was found
A-24154-22,103M,Relevant video was found
A-24226-22,64G,No relevant video was found
A-24056-22,20I,Relevant video was found
A-23816-22,62C,Relevant video was found
A-25533-22,20I,Relevant video was found
A-25565-22,18,Relevant video was found
A-25660-22,34C,No relevant video was found
A-24400-22,65,Relevant video was found
A-24686-22,100,No relevant video was found
A-24549-22,64G,Relevant video was found
A-24514-22,18,Relevant video was found
A-24526-22,35,Relevant video was found
A-24743-22,20,Relevant video was found
A-24594-22,100,No relevant video was found
A-24007-22,67,Relevant video was found
A-25249-22,20,No relevant video was found
A-21447-22,67A,Relevant video was found
A-24454-22,67A,Relevant video was found
A-25339-22,67A,Relevant video was found
A-25856-22,20I,No relevant video was found
A-26724-22,21,Relevant video was found
A-26745-22,20I,Relevant video was found
A-26813-22,100I,Relevant video was found
A-26756-22,107,No relevant video was found
A-26872-22,107,Relevant video was found
A-26807-22,34S,Relevant video was found
A-26680-22,100,Relevant video was found
A-26260-22,67B,Relevant video was found
A-26969-22,21,Relevant video was found
A-25994-22,20I,No relevant video was found
A-18542-22,62C,Relevant video was found
A-23873-22,100,Relevant video was found
A-26019-22,20,Relevant video was found
A-26223-22,20,Relevant video was found
A-26248-22,20,No relevant video was found
A-20783-22,21,Relevant video was found
A-11854-22,67-B,Relevant video was found
A-24226-22,64G,Relevant video was found
A-02634-22,30S,Relevant video was found
A-26659-22,100,Relevant video was found
A-27803-22,103-F,No relevant video was found
A-28170-22,65,No relevant video was found
A-27158-22,20,No relevant video was found
A-23873-22,100,Relevant video was found
A-15236-22,67S,Relevant video was found
A-27653-22,64J,No relevant video was found
A-27589-22,21M,No relevant video was found
A-27754-22,62R,No relevant video was found
A-27273-22,20,No relevant video was found
A-27410-22,107,Relevant video was found
A-23709-22,21,Relevant video was found
E-34938-21,21,Relevant video was found
A-27545-22,20,Relevant video was found
A-17864-22,27/64J,Relevant video was found
A-27551-22,100,Relevant video was found
A-27307-22,20I,Relevant video was found
A-27460-22,37,Relevant video was found
A-27649-22,34S,Relevant video was found
A-24361-22,62C,Relevant video was found
A-29052-22,64G,Relevant video was found
A-29157-22,20,Relevant video was found
A-29122-22,34S,Relevant video was found
A-29351-22,56,Relevant video was found
A-29463-22,64G,Relevant video was found
A-27257-22,100,Relevant video was found
A-27408-22,94,No relevant video was found
A-22555-22,64G,Relevant video was found
A-29591-22,20I,Relevant video was found
A-27892-22,21,Relevant video was found
A-27893-22,64J,Relevant video was found
A-27978-22,103F,Relevant video was found
A-28408-22,34C,Relevant video was found
A-21447-22,67A,Relevant video was found
A-28407-22,62C,Relevant video was found
A-28584-22,20I,Relevant video was found
A-28748-22,20,No relevant video was found
A-28950-22,20I,Relevant video was found
A-29027-22,94,Relevant video was found
A-07681-22,30S,Relevant video was found
A-28432-22,100,No relevant video was found
A-28435-22,34C,Relevant video was found
A-28584-22,20I,No relevant video was found
A-28709-22,20,No relevant video was found
A-28764-22,21,Relevant video was found
A-28778-22,64J,Relevant video was found
A-20783-22,21,Relevant video was found
A-28583-22,21,Relevant video was found
A-27649-22,34S,Relevant video was found
A-29007-22,64J,Relevant video was found
A-26295-22,64J,Relevant video was found
A-28170-22,65,Relevant video was found
A-29353-22,62C,Relevant video was found
A-29463-22,64G,Relevant video was found
A-20378-22,67,Relevant video was found
A-29442-22,21,Relevant video was found
A-29505-22,67 P,Relevant video was found
A-30346-22,34S,Relevant video was found
A-30648-22,20,Relevant video was found
A-30899-22,27/67A,Relevant video was found
A-31759-22,34S,No relevant video was found
A-31664-22,100,Relevant video was found
A-30617-22,2745,Relevant video was found
A-30617-22,2745,Relevant video was found
A-33215-22,20I,Relevant video was found
A-33463-22,20I,No relevant video was found
A-33513-22,62C,Relevant video was found
A-33650-22,21,Relevant video was found
A-29659-22,20,Relevant video was found
A-29974-22,21,Relevant video was found
A-30150-22,20,Relevant video was found
A-30214-22,94,Relevant video was found
A-33182-22,18,Relevant video was found
A-33232-22,67,Relevant video was found
A-33899-22,107,Relevant video was found
A-33817-22,67A,Relevant video was found
A-34165-22,20I,Relevant video was found
A-34191-22,56,Relevant video was found
A-20620-22,67,Relevant video was found
A-29052-22,64G,Relevant video was found
A-27653-22,2767A,Relevant video was found
A-26882-22,62C,Relevant video was found
A-29974-22,21,Relevant video was found
A-28511-22,67,Relevant video was found
A-32748,20,Relevant video was found
A-33160-22,20I,Relevant video was found
A-33241-22,20I,Relevant video was found
A-32163-22,29U,Relevant video was found
A-32165-22,64J,Relevant video was found
L-10360-21,21,Relevant video was found
A-32451-22,34,Relevant video was found
A-27649-22,34S,Relevant video was found
A-32735-22,34S,No relevant video was found
A-32865-22,21,Relevant video was found
A-32898-22,34S,No relevant video was found
A-30214-22,34 S,Relevant video was found
A-30205-22,100 I,Relevant video was found
A-11553-22,67 A,Relevant video was found
A-30715-22,37,Relevant video was found
A-32296-22,100,Relevant video was found
A-32444-22,34S,Relevant video was found
A-29193-22,34S,Relevant video was found
A-31870-22,20,Relevant video was found
A-31857-22,20F,No relevant video was found
A-32058-22,34S,No relevant video was found
A-30920-22,20,No relevant video was found
A-31012-22,100,Relevant video was found
A-30904-22,64G,Relevant video was found
A-30346-22,34S,Relevant video was found
A-33437-22,37,Relevant video was found
A-32241-22,20,No relevant video was found
A-32289-22,67A,Relevant video was found
A-31378-22,64G,No relevant video was found
A-32335-22,67A,Relevant video was found
A-31085-22,100,Relevant video was found
A-31095-22,62C,Relevant video was found
A-27649-22,34S,Relevant video was found
A-31857-22,20-F,Relevant video was found
A-31889-22,103-F,No relevant video was found
A-32211-22,35,Relevant video was found
A-32430-22,20,No relevant video was found
A-32524-22,20,No relevant video was found
A-32578-22,20I,Relevant video was found
A-33177-22,62C,No relevant video was found
A-33642-22,20,Relevant video was found
A-33716-22,20,Relevant video was found
A-33703-22,20I,Relevant video was found
A-31582-22,34S,Relevant video was found
A-31857-22,20F,Relevant video was found
A-31882-22,20I,Relevant video was found
A-32124-22,20,Relevant video was found
A-32748-22,20,Relevant video was found
A-32871-22,100,No relevant video was found
A-33063-22,37,Relevant video was found
A-32444-22,34S,Relevant video was found
A-33898-22,64G,Relevant video was found
A-34192-22,29ST,No relevant video was found
A-34469-22,20,No relevant video was found
A-34505-22,100,No relevant video was found
A-34521-22,20,Relevant video was found
A-32561-22,67A,Relevant video was found
A-34629-22,20I,Relevant video was found
B-00254-22,20,Relevant video was found
A-20783-22,21,Relevant video was found
A-34903-22,30S,Relevant video was found
A-00732-22,21R,No relevant video was found
A-30617-22,27/45,Relevant video was found
B-00030-22,34S,No relevant video was found
A-35228-22,67A,Relevant video was found
A-21912-22,21M,Relevant video was found
K-19254-21,21,Relevant video was found
A-34749-22,27-62C,Relevant video was found
A-34790-22,94,No relevant video was found
A-31378-22,64G,Relevant video was found
A-35308-22,55,No relevant video was found
B-00054-22,64K,Relevant video was found
A-32354-22,64J,Relevant video was found
A-34839-22,64J,Relevant video was found
A-34973-22,20,Relevant video was found
A-35216-22,18,Relevant video was found
A-35242-22,18,Relevant video was found
B-00086-22,18,Relevant video was found
B-00100-22,18,Relevant video was found
B-00110-22,18,Relevant video was found
B-00157-22,103F,Relevant video was found
A-30617-22,27-45,Relevant video was found
B-00669-22,20I,No relevant video was found
B-00794-22,20,Relevant video was found
B-00884-22,20I,Relevant video was found
A-33642-22,20,Relevant video was found
B-00242-22,20,No relevant video was found
B-00315-22,20,Relevant video was found
A-21462-22,34S,Relevant video was found
A-33513-22,62C,Relevant video was found
B-00748-22,34S,Relevant video was found
B-00854-22,20,No relevant video was found
B-01382-22,100I,No relevant video was found
B-01588-22,20I,No relevant video was found
B-01666-22,20,No relevant video was found
B-01704-22,20,Relevant video was found
B-01616-22,100,No relevant video was found
B-01752-22,20,No relevant video was found
B-01924-22,20,No relevant video was found
A-33056-22,65J,Relevant video was found
B-02056-22,20,No relevant video was found
A-33817-22,62C,Relevant video was found
B-00748-22,34S,Relevant video was found
B-00966-22,18,Relevant video was found
B-00976-22,18,Relevant video was found
B-00998-22,18,Relevant video was found
B-01074-22,20,Relevant video was found
B-01098-22,18,Relevant video was found
B-01137-22,18,Relevant video was found
B-01163-22,18,Relevant video was found
B-01210-22,18,Relevant video was found
B-01410-22,107,Relevant video was found
A-32123-22,100,No relevant video was found
B-01365-22,35,No relevant video was found
B-01473-22,67P,Relevant video was found
B-01610-22,20,Relevant video was found
B-01632-22,20I,Relevant video was found
B-01806-22,20,No relevant video was found
B-01843-22,20,Relevant video was found
B-01881-22,20,Relevant video was found
B-00748-22,34S,Relevant video was found
B-01200-22,30C,No relevant video was found
B-03121-22,18,Relevant video was found
B-02348-22,20I,Relevant video was found
B-01878-22,20,Relevant video was found
B-01276-22,62C,Relevant video was found
B-02490-22,67,Relevant video was found
B-02643-22,20F,No relevant video was found
B-02643-22,20F,Relevant video was found
B-02445-22,20I,No relevant video was found
B-02796-22,18,No relevant video was found
B-02804-22,65-P,No relevant video was found
B-02982-22,103,No relevant video was found
B-02904-22,107,Relevant video was found
B-02917-22,108,Relevant video was found
B-02974-22,35D,Relevant video was found
B-02883-22,67C,Relevant video was found
B-03235-22,20,Relevant video was found
B-03219-22,94,No relevant video was found
B-03167-22,20,Relevant video was found
B-03008-22,20I,Relevant video was found
B-03140-22,21,Relevant video was found
A-35296-22,67C,Relevant video was found
B-03329-22,21,Relevant video was found
B-05094-22,18,Relevant video was found
B-05102-22,67A,No relevant video was found
B-05351-22,100I,Relevant video was found
B-04274-22,20,Relevant video was found
B-04333-22,21ID,Relevant video was found
B-04569-22,20I,Relevant video was found
B-03140-22,21,Relevant video was found
B-05542-22,20I,Relevant video was found
B-05756-22,65P,Relevant video was found
B-06046-22,34S,Relevant video was found
B-03858-22,62C,Relevant video was found
B-07434-22,20I,Relevant video was found
B-07435-22,18,Relevant video was found
B-07491-22,20I,Relevant video was found
B-02643-22,30 S,Relevant video was found
A-20991-22,34 S,Relevant video was found
B-03800-22,20X,No relevant video was found
B-03827-22,34S,No relevant video was found
B-03827-22,30S,No relevant video was found
B-04555-22,67A,No relevant video was found
B-03850-22,20-I,No relevant video was found
B-03923-22,35,No relevant video was found
B-05810-22,20,No relevant video was found
B-06481-22,67 A,No relevant video was found
B-03827-22,30S,Relevant video was found
B-07011-22,67A,No relevant video was found
B-07057-22,21,Relevant video was found
B-07107-22,64J,Relevant video was found
B-06933-22,100,Relevant video was found
B-05205-22,65,Relevant video was found
B-07476-22,94,Relevant video was found
B-07539-22,34C,Relevant video was found
B-07565-22,35,Relevant video was found
B-07676-22,64 J,Relevant video was found
B-03571-22,20,No relevant video was found
A-33358-22,30S,Relevant video was found
B-07237-22,20-I,No relevant video was found
B-07057-22,21,Relevant video was found
B-07562-22,20I,Relevant video was found
B-07537-22,67P,No relevant video was found
B-07657-22,20,Relevant video was found
B-08318-22,20I,Relevant video was found
B-08489-22,20,Relevant video was found
B-03851-22,100I,No relevant video was found
B-03932-22,20,Relevant video was found
B-04112-22,20-I,Relevant video was found
B-05757-22,20-I,Relevant video was found
B-05775-22,20,No relevant video was found
B-05528-22,62C,No relevant video was found
