item_number,Signal Code,Upon Researching the above item :,Type,TypeText,Priority,InitialType,InitialTypeText,InitialPriority,MapX,MapY,TimeCreate,TimeDispatch,TimeArrive,TimeClosed,Disposition,DispositionText,SelfInitiated,Beat,BLOCK_ADDRESS,Zip,PoliceDistrict,Location
A0178822,20,No relevant video was found,21,COMPLAINT OTHER,1J,20,AUTO ACCIDENT,1E,3671312,523768,1/2/2022 14:12,1/2/2022 18:33,1/2/2022 18:41,1/2/2022 20:04,NAT,Necessary Action Taken,N,6Q01,Milan St & La Salle St,70115,6,POINT (-90.10050115 29.93448703)
A0185522,100I,Relevant video was found,100I,HIT & RUN WITH INJURIES,1A,100I,HIT & RUN WITH INJURIES,2D,3712613,557873,1/2/2022 15:23,1/2/2022 17:17,,1/2/2022 17:17,RTF,REPORT TO FOLLOW,N,7I01,Dwyer Rd & Read Blvd,70127,7,POINT (-89.96883566 30.02697765)
A0185522,100I,Relevant video was found,100I,HIT & RUN WITH INJURIES,1A,100I,HIT & RUN WITH INJURIES,2D,3712613,557873,1/2/2022 15:23,1/2/2022 17:17,,1/2/2022 17:17,RTF,REPORT TO FOLLOW,N,7I01,Dwyer Rd & Read Blvd,70127,7,POINT (-89.96883566 30.02697765)
A0181422,34,No relevant video was found,34,AGGRAVATED BATTERY,2D,37,AGGRAVATED ASSAULT,2E,3677973,532346,1/2/2022 14:48,1/2/2022 14:50,1/2/2022 14:53,1/2/2022 17:45,RTF,REPORT TO FOLLOW,N,1H01,20Blk S Claiborne Ave,70112,1,POINT (-90.07917736 29.95787553)
A0435022,20,Relevant video was found,20,AUTO ACCIDENT,1E,20,AUTO ACCIDENT,1E,3675938,522506,1/4/2022 18:41,,1/4/2022 18:41,1/4/2022 18:55,RTF,REPORT TO FOLLOW,Y,6D02,Saint Charles Ave & Washington Ave,70115,6,POINT (-90.0859419 29.93088015)
A0454122,100,Relevant video was found,100,HIT & RUN,1G,100,HIT & RUN,1G,3696355,520530,1/4/2022 23:02,1/4/2022 23:16,1/4/2022 23:35,1/5/2022 0:15,RTF,REPORT TO FOLLOW,N,4C02,General De Gaulle Dr & Garden Oaks Dr,70114,4,POINT (-90.02156063 29.92481845)
A0146622,100I,No relevant video was found,35D,SIMPLE BATTERY DOMESTIC,2C,66,EXTORTION (THREATS),1H,3669535,549408,1/2/2022 7:36,1/2/2022 7:38,1/2/2022 7:52,1/2/2022 14:15,RTF,REPORT TO FOLLOW,N,3J01,008XX Harrison Ave,70124,3,POINT (-90.1052442 30.00503972)
A0162022,20,No relevant video was found,20,AUTO ACCIDENT,1A,20,AUTO ACCIDENT,1E,3679436,531160,1/2/2022 10:52,1/2/2022 11:00,1/2/2022 11:33,1/2/2022 13:10,RTF,REPORT TO FOLLOW,N,8I02,Tulane Ave & Elk Pl,70112,8,POINT (-90.07459786 29.95456904)
A0171422,20,No relevant video was found,21,COMPLAINT OTHER,1J,20,AUTO ACCIDENT,1E,3683126,540974,1/2/2022 12:17,1/2/2022 16:57,1/2/2022 16:57,1/2/2022 17:52,NAT,Necessary Action Taken,N,5K02,Saint Anthony St & N Rocheblave St,70119,5,POINT (-90.06260465 29.98144245)
A0180722,20I,Relevant video was found,21,COMPLAINT OTHER,1J,20I,AUTO ACCIDENT WITH INJURY,2D,3671207,529762,1/2/2022 14:40,,,1/2/2022 18:33,VOI,VOID,N,6N01,S Broad St & Washington Ave,70125,6,POINT (-90.10063127 29.95097119)
A0190922,64J,Relevant video was found,64J,CARJACKING,2C,64J,CARJACKING,2C,3679657,527135,1/2/2022 16:41,1/2/2022 16:43,1/2/2022 16:44,1/2/2022 20:07,RTF,REPORT TO FOLLOW,N,6G04,010XX Blk Carondelet St,70113,6,POINT (-90.07403902 29.94349441)
A0261122,20,No relevant video was found,20,AUTO ACCIDENT,1E,20,AUTO ACCIDENT,1E,3681759,544200,1/3/2022 9:21,1/3/2022 10:03,1/3/2022 10:07,1/3/2022 10:29,RTF,REPORT TO FOLLOW,N,3X01,New Orleans St & Benefit St,70122,3,POINT (-90.06680853 29.99035545)
A0291822,64,Relevant video was found,67AR,SIMULTANEOS STOLEN/RECOVERY VEHICLE,1D,64,ARMED ROBBERY,2C,3668034,549778,1/3/2022 14:23,1/3/2022 14:24,1/3/2022 14:41,1/3/2022 18:23,RTF,REPORT TO FOLLOW,N,3F01,063XX Louisville St,70124,3,POINT (-90.1099743 30.00610217)
A0294322,20,No relevant video was found,20,AUTO ACCIDENT,2A,20,AUTO ACCIDENT,1E,3668113,535072,1/3/2022 14:43,1/3/2022 15:07,1/3/2022 15:41,1/3/2022 16:14,RTF,REPORT TO FOLLOW,N,2T05,Palmetto St & S Carrollton Ave,70118,2,POINT (-90.11022088 29.96566445)
A0309122,20,No relevant video was found,20,AUTO ACCIDENT,1E,20,AUTO ACCIDENT,1E,3672684,526318,1/3/2022 17:00,1/3/2022 19:15,1/3/2022 19:19,1/3/2022 20:27,RTF,REPORT TO FOLLOW,N,6I04,Toledano St & S Claiborne Ave,70115,6,POINT (-90.09608443 29.94145727)
A0206122,20,Relevant video was found,21,COMPLAINT OTHER,1J,20,AUTO ACCIDENT,1E,3671130,529733,1/2/2022 19:16,1/2/2022 19:48,1/2/2022 19:48,1/2/2022 20:05,NAT,Necessary Action Taken,N,2V02,Washington Ave & S Broad St,70125,2,POINT (-90.10087379 29.95089509)
A0208022,103,Relevant video was found,103,DISTURBANCE (OTHER),1A,103,DISTURBANCE (OTHER),1C,3696301,520882,1/2/2022 19:36,1/2/2022 21:38,1/2/2022 21:38,1/2/2022 21:40,GOA,GONE ON ARRIVAL,N,4J01,035XX General De Gaulle Dr,70114,4,POINT (-90.02171598 29.92578856)
A0209122,20I,No relevant video was found,20I,AUTO ACCIDENT WITH INJURY,2D,20I,AUTO ACCIDENT WITH INJURY,2D,3706640,553160,1/2/2022 19:50,,,1/2/2022 20:35,DUP,DUPLICATE,N,7F01,Chef Menteur Hwy & Crowder Blvd,70127,7,POINT (-89.98788543 30.01421241)
A0212322,52F,No relevant video was found,37D,AGGRAVATED ASSAULT DOMESTIC,2C,NOPD,INCIDENT REQUESTED BY ANOTHER AGENCY,2A,3699237,561237,1/2/2022 20:26,1/3/2022 12:50,1/3/2022 13:46,1/3/2022 15:01,RTF,REPORT TO FOLLOW,N,7O02,079XX Sheephead St,70126,7,POINT (-90.01098062 30.03665695)
A0228522,37,Relevant video was found,37,AGGRAVATED ASSAULT,2E,37,AGGRAVATED ASSAULT,2E,3686353,556379,1/3/2022 0:35,1/3/2022 0:36,1/3/2022 0:49,1/3/2022 4:38,RTF,REPORT TO FOLLOW,N,3S07,Mexico St & Franklin Ave,70122,3,POINT (-90.05186828 30.0237019)
A0228522,62B,Relevant video was found,37,AGGRAVATED ASSAULT,2E,37,AGGRAVATED ASSAULT,2E,3686353,556379,1/3/2022 0:35,1/3/2022 0:36,1/3/2022 0:49,1/3/2022 4:38,RTF,REPORT TO FOLLOW,N,3S07,Mexico St & Franklin Ave,70122,3,POINT (-90.05186828 30.0237019)
A0192022,64-J,No relevant video was found,64J,CARJACKING,2C,64J,CARJACKING,2C,3671819,541672,1/2/2022 16:53,1/2/2022 16:55,1/2/2022 17:06,1/2/2022 23:30,RTF,REPORT TO FOLLOW,N,3I06,City Park Ave & Anseman Ave,70119,3,POINT (-90.09829296 29.98370168)
A0202922,24,Relevant video was found,24,MEDICAL,2D,NOPD,INCIDENT REQUESTED BY ANOTHER AGENCY,2A,37369000,3513814,1/2/2022 18:48,1/2/2022 18:56,1/2/2022 19:03,1/2/2022 20:37,NAT,Necessary Action Taken,N,5.00E+01,051XX Saint Claude Ave,70117,5,POINT (0 0)
A0209222,20I,Relevant video was found,20I,AUTO ACCIDENT WITH INJURY,1A,20I,AUTO ACCIDENT WITH INJURY,2D,3704841,552706,1/2/2022 19:50,1/3/2022 8:10,1/3/2022 8:25,1/3/2022 8:29,GOA,GONE ON ARRIVAL,N,7F01,079XX Chef Menteur Hwy,70126,7,POINT (-89.9935839 30.01302234)
A0198422,34S,Relevant video was found,34S,AGGRAVATED BATTERY BY SHOOTING,2C,34S,AGGRAVATED BATTERY BY SHOOTING,2C,3694722,524330,1/2/2022 18:08,1/2/2022 18:11,1/2/2022 18:17,1/2/2022 22:36,RTF,REPORT TO FOLLOW,N,4I04,017XX Elizardi Blvd,70114,4,POINT (-90.02657605 29.93531954)
A0198422,34S,Relevant video was found,34S,AGGRAVATED BATTERY BY SHOOTING,2C,34S,AGGRAVATED BATTERY BY SHOOTING,2C,3694722,524330,1/2/2022 18:08,1/2/2022 18:11,1/2/2022 18:17,1/2/2022 22:36,RTF,REPORT TO FOLLOW,N,4I04,017XX Elizardi Blvd,70114,4,POINT (-90.02657605 29.93531954)
A0157222,65,Relevant video was found,65P,"SIMPLE ROBBERY, PROPERTY SNATCHING",2D,64,ARMED ROBBERY,2C,3681649,530441,1/2/2022 9:50,1/2/2022 9:52,1/2/2022 9:53,1/2/2022 11:19,RTF,REPORT TO FOLLOW,N,8C01,005XX Canal St,70130,8,POINT (-90.06763618 29.952527)
A0157222,65,Relevant video was found,65P,"SIMPLE ROBBERY, PROPERTY SNATCHING",2D,64,ARMED ROBBERY,2C,3681649,530441,1/2/2022 9:50,1/2/2022 9:52,1/2/2022 9:53,1/2/2022 11:19,RTF,REPORT TO FOLLOW,N,8C01,005XX Canal St,70130,8,POINT (-90.06763618 29.952527)
A0431122,18,Relevant video was found,67A,AUTO THEFT,0A,67A,AUTO THEFT,0A,3674830,527331,1/4/2022 17:54,,,1/5/2022 1:04,RTF,REPORT TO FOLLOW,N,6I03,Willow St & Jackson Ave,70113,6,POINT (-90.08927315 29.94417858)
A0421822,94,No relevant video was found,55,AGGRAVATED CRIMINAL DAMAGE,1D,94,DISCHARGING FIREARM,2D,3661683,531239,1/4/2022 16:32,1/4/2022 16:32,1/4/2022 16:38,1/4/2022 18:08,RTF,REPORT TO FOLLOW,N,2K02,017XX Blk Monroe St,70118,2,POINT (-90.13065385 29.95531062)
A0439322,18,Relevant video was found,TS,TRAFFIC STOP,1J,TS,TRAFFIC STOP,1J,3684824,538018,1/4/2022 19:29,,1/4/2022 19:29,1/4/2022 19:38,NAT,Necessary Action Taken,Y,5A04,Elysian Fields Ave & N Claiborne Ave,70117,5,POINT (-90.05734351 29.97326333)
A3222022,18,Relevant video was found,20,AUTO ACCIDENT,1A,20,AUTO ACCIDENT,1E,3696175,536097,1/29/2022 8:07,1/29/2022 8:19,1/29/2022 8:25,1/29/2022 10:09,RTF,REPORT TO FOLLOW,N,5.00E+02,Tennessee St & N Claiborne Ave,70117,5,POINT (-90.02156501 29.96762965)
A0347622,35,Relevant video was found,103D,DOMESTIC DISTURBANCE,2C,35,SIMPLE BATTERY,1F,3681468,530513,1/4/2022 1:49,1/4/2022 1:52,1/4/2022 1:54,1/4/2022 3:22,RTF,REPORT TO FOLLOW,N,8C01,60Blk Canal St,70130,8,POINT (-90.06820637 29.95273013)
A0223822,62C,No relevant video was found,21,COMPLAINT OTHER,1J,62C,SIMPLE BURGLARY VEHICLE,1G,3686108,531065,1/2/2022 23:33,,1/3/2022 0:51,1/3/2022 1:39,RTF,REPORT TO FOLLOW,N,4F02,003XX Morgan St,70114,4,POINT (-90.05353487 29.95410465)
A0102722,67,No relevant video was found,67,THEFT,1G,67,THEFT,1G,3681269,531373,1/1/2022 20:00,,1/1/2022 20:00,1/1/2022 20:12,RTF,REPORT TO FOLLOW,Y,8D04,002XX Blk Bourbon St,70112,8,POINT (-90.06880278 29.95509879)
A0102722,67,Relevant video was found,67,THEFT,1G,67,THEFT,1G,3681269,531373,1/1/2022 20:00,,1/1/2022 20:00,1/1/2022 20:12,RTF,REPORT TO FOLLOW,Y,8D04,002XX Blk Bourbon St,70112,8,POINT (-90.06880278 29.95509879)
A0102722,67,No relevant video was found,67,THEFT,1G,67,THEFT,1G,3681269,531373,1/1/2022 20:00,,1/1/2022 20:00,1/1/2022 20:12,RTF,REPORT TO FOLLOW,Y,8D04,002XX Blk Bourbon St,70112,8,POINT (-90.06880278 29.95509879)
A0108522,64G,No relevant video was found,64G,ARMED ROBBERY WITH GUN,2C,64G,ARMED ROBBERY WITH GUN,2C,37369000,3513814,1/1/2022 21:15,1/1/2022 21:15,1/1/2022 21:23,1/1/2022 23:24,RTF,REPORT TO FOLLOW,N,JEFF,063XX Blk Camp St,None,0,POINT (0 0)
A0263422,30S,Relevant video was found,30S,HOMICIDE BY SHOOTING,2C,34S,AGGRAVATED BATTERY BY SHOOTING,2C,3725950,571717,1/3/2022 9:43,1/3/2022 9:45,1/3/2022 9:49,1/3/2022 13:30,RTF,REPORT TO FOLLOW,N,7L06,141XX Michoud Blvd,70129,7,POINT (-89.92615548 30.06459862)
A0263422,30S,Relevant video was found,30S,HOMICIDE BY SHOOTING,2C,34S,AGGRAVATED BATTERY BY SHOOTING,2C,3725950,571717,1/3/2022 9:43,1/3/2022 9:45,1/3/2022 9:49,1/3/2022 13:30,RTF,REPORT TO FOLLOW,N,7L06,141XX Michoud Blvd,70129,7,POINT (-89.92615548 30.06459862)
A0263422,30S,Relevant video was found,30S,HOMICIDE BY SHOOTING,2C,34S,AGGRAVATED BATTERY BY SHOOTING,2C,3725950,571717,1/3/2022 9:43,1/3/2022 9:45,1/3/2022 9:49,1/3/2022 13:30,RTF,REPORT TO FOLLOW,N,7L06,141XX Michoud Blvd,70129,7,POINT (-89.92615548 30.06459862)
A0300122,94,No relevant video was found,94,DISCHARGING FIREARM,2D,94,DISCHARGING FIREARM,2D,3696804,522592,1/3/2022 15:37,1/3/2022 15:39,1/3/2022 15:40,1/3/2022 15:55,GOA,GONE ON ARRIVAL,N,4J01,Vespasian Blvd & Westbend Pkwy,70114,4,POINT (-90.02006831 29.93047466)
A0308322,20I,Relevant video was found,20I,AUTO ACCIDENT WITH INJURY,1A,20I,AUTO ACCIDENT WITH INJURY,2D,3695011,557300,1/3/2022 16:53,1/3/2022 17:08,1/3/2022 17:11,1/3/2022 19:11,RTF,REPORT TO FOLLOW,N,7A04,Morrison Rd & Downman Rd,70126,7,POINT (-90.02447478 30.02596545)
A0308322,20,Relevant video was found,20I,AUTO ACCIDENT WITH INJURY,1A,20I,AUTO ACCIDENT WITH INJURY,2D,3695011,557300,1/3/2022 16:53,1/3/2022 17:08,1/3/2022 17:11,1/3/2022 19:11,RTF,REPORT TO FOLLOW,N,7A04,Morrison Rd & Downman Rd,70126,7,POINT (-90.02447478 30.02596545)
A0304422,20,Relevant video was found,20,AUTO ACCIDENT,1A,20,AUTO ACCIDENT,1E,3709812,562393,1/3/2022 16:15,1/4/2022 1:28,1/4/2022 1:28,1/4/2022 1:30,GOA,GONE ON ARRIVAL,N,7I06,070XX Read Blvd,70127,7,POINT (-89.97751713 30.03949673)
A0315522,20,Relevant video was found,20,AUTO ACCIDENT,1E,20,AUTO ACCIDENT,1E,3681331,530134,1/3/2022 17:59,1/3/2022 18:05,1/3/2022 18:17,1/3/2022 20:15,RTF,REPORT TO FOLLOW,N,8G04,Camp St & Common St,70130,8,POINT (-90.06865181 29.9516918)
A0192922,20,No relevant video was found,20I,AUTO ACCIDENT WITH INJURY,1A,20I,AUTO ACCIDENT WITH INJURY,2D,3678193,532414,1/2/2022 17:01,1/2/2022 18:56,1/2/2022 19:10,1/2/2022 22:35,RTF,REPORT TO FOLLOW,N,8J04,Cleveland Ave & S Claiborne Ave,70112,8,POINT (-90.07847876 29.95805478)
A0333122,64G,No relevant video was found,64G,ARMED ROBBERY WITH GUN,2C,64G,ARMED ROBBERY WITH GUN,2C,3705519,514615,1/3/2022 21:37,1/3/2022 21:39,1/3/2022 21:43,1/4/2022 19:54,RTF,REPORT TO FOLLOW,N,4.00E+01,043XX Woodland Dr,70131,4,POINT (-89.9928495 29.90826259)
A0345422,20,Relevant video was found,20,AUTO ACCIDENT,1E,20,AUTO ACCIDENT,1E,3682146,537844,1/4/2022 1:11,1/4/2022 1:14,1/4/2022 1:17,1/4/2022 3:08,RTF,REPORT TO FOLLOW,N,1B01,N Claiborne Ave & Saint Bernard Ave,70116,1,POINT (-90.06580829 29.97286525)
A0354922,64J,Relevant video was found,64J,CARJACKING,2C,64,ARMED ROBBERY,2C,3706867,514025,1/4/2022 3:52,1/4/2022 3:54,1/4/2022 3:58,1/4/2022 6:06,RTF,REPORT TO FOLLOW,N,4.00E+01,061XX Tullis Dr,70131,4,POINT (-89.98861728 29.90659849)
A0354922,64J,Relevant video was found,64J,CARJACKING,2C,64,ARMED ROBBERY,2C,3706867,514025,1/4/2022 3:52,1/4/2022 3:54,1/4/2022 3:58,1/4/2022 6:06,RTF,REPORT TO FOLLOW,N,4.00E+01,061XX Tullis Dr,70131,4,POINT (-89.98861728 29.90659849)
A0325322,20I,No relevant video was found,20I,AUTO ACCIDENT WITH INJURY,2D,20,AUTO ACCIDENT,1E,3680517,530223,1/3/2022 20:01,1/3/2022 20:46,1/3/2022 20:52,1/3/2022 21:55,RTF,REPORT TO FOLLOW,N,8I01,Carondelet St & Gravier St,70112,8,POINT (-90.07121915 29.95196027)
A0379022,58R,No relevant video was found,58R,RECOVERY OF REPORTED STOLEN VEHICLE,1I,107,SUSPICIOUS PERSON,2C,3682170,543677,1/4/2022 9:21,1/4/2022 9:25,1/4/2022 9:27,1/4/2022 12:19,NAT,Necessary Action Taken,N,3X01,030XX Blk Allen St,70122,3,POINT (-90.06552776 29.98890559)
A0406022,100,Relevant video was found,100,HIT & RUN,1A,100,HIT & RUN,1G,3681522,532298,1/4/2022 13:36,1/4/2022 16:00,1/4/2022 16:30,1/4/2022 16:50,RTF,REPORT TO FOLLOW,N,8D03,Dauphine St & Saint Louis St,70112,8,POINT (-90.06797238 29.95763542)
A0428822,100,Relevant video was found,100,HIT & RUN,1G,100,HIT & RUN,1G,3674520,527889,1/4/2022 17:33,1/4/2022 19:56,1/4/2022 20:07,1/4/2022 21:10,RTF,REPORT TO FOLLOW,N,6L01,021XX S Claiborne Ave,70125,6,POINT (-90.09023454 29.9457222)
A0455322,100,No relevant video was found,100,HIT & RUN,1G,20I,AUTO ACCIDENT WITH INJURY,2D,3691797,535307,1/4/2022 23:18,1/4/2022 23:20,1/4/2022 23:23,1/5/2022 1:49,RTF,REPORT TO FOLLOW,N,5D02,Bartholomew St & Saint Claude Ave,70117,5,POINT (-90.03541993 29.96559204)
A0481422,20F,Relevant video was found,20F,AUTO ACCIDENT FATALITY,2D,20I,AUTO ACCIDENT WITH INJURY,2D,3682123,544226,1/5/2022 7:11,1/5/2022 7:13,1/5/2022 7:21,1/5/2022 11:47,RTF,REPORT TO FOLLOW,N,3X01,Benefit St & Allen St,70122,3,POINT (-90.06565817 29.99041469)
A0514822,20,Relevant video was found,20,AUTO ACCIDENT,1A,20,AUTO ACCIDENT,1E,3670214,531950,1/5/2022 12:57,1/5/2022 13:57,1/5/2022 14:05,1/5/2022 14:52,RTF,REPORT TO FOLLOW,N,6N02,Earhart Blvd & Washington Ave,70125,6,POINT (-90.10368985 29.95701829)
A0503822,34S,Relevant video was found,34S,AGGRAVATED BATTERY BY SHOOTING,2C,34S,AGGRAVATED BATTERY BY SHOOTING,2C,3667930,534260,1/5/2022 11:09,1/5/2022 11:11,1/5/2022 11:12,1/5/2022 14:25,RTF,REPORT TO FOLLOW,N,2U04,035XX Blk Short St,70125,2,POINT (-90.11082564 29.96343676)
A0503822,34S,Relevant video was found,34S,AGGRAVATED BATTERY BY SHOOTING,2C,34S,AGGRAVATED BATTERY BY SHOOTING,2C,3667930,534260,1/5/2022 11:09,1/5/2022 11:11,1/5/2022 11:12,1/5/2022 14:25,RTF,REPORT TO FOLLOW,N,2U04,035XX Blk Short St,70125,2,POINT (-90.11082564 29.96343676)
A0565522,100,No relevant video was found,100,HIT & RUN,1A,100,HIT & RUN,1G,3679820,531659,1/5/2022 22:23,1/6/2022 0:11,1/6/2022 0:13,1/6/2022 1:04,RTF,REPORT TO FOLLOW,N,8I02,Canal St & Elk Pl,70112,8,POINT (-90.0733683 29.95593052)
